,Unnamed: 0,evento,ano,qualis,categoria,match_sigla,evento_match_ratio,evento_match_partial,evento_match_sort,evento_match_set,fuzz_ratio,fuzz_partial_ratio,fuzz_sort_ratio,fuzz_set_ratio,qualis_ratio,qualis_partial,qualis_sort,qualis_set
153,153,International Conference on High Performance Computing and Simulation - HPCS 2010,2010.0,-,conferencia,hpcs,international conference on high performance computing & simulation,international conference on high performance computing & simulation,international conference on high performance computing & simulation,international conference on high performance computing & simulation,89,96,90,100,A4,A4,A4,A4
154,154,Latin American Conference on High Performance Computing (CLCAR 2010),2010.0,-,conferencia,latin,ieee international conference on high performance computing,ieee international conference on high performance computing,latin american high performance computing conference,latin american high performance computing conference,74,80,88,100,,A3,nulo,nulo
155,155,Brazilian Symposium on Bioinformatics,2012.0,-,conferencia,-,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,100,100,100,100,B1,B1,B1,B1
156,156,The 41st International Conference on Parallel Processing Workshops,2012.0,-,conferencia,-,international conference on parallel processing,parallel processing workshops,international conference on parallel processing,parallel processing workshops,83,100,83,100,A3,B2,A3,B2
157,157,XLVI Simpósio Brasileiro de Pesquisa Operacional,2012.0,-,conferencia,-,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,95,100,95,100,B3,B3,B3,B3
158,158,XIV Simpósio em Sistemas Computacionais (WSCAD-SSC),2013.0,-,conferencia,wscad,simposio em sistemas computacionais de alto desempenho,simposio de mecanica computacional,simposio em sistemas computacionais de alto desempenho,simposio brasileiro sobre fatores humanos em sistemas computacionais,74,76,68,83,,,,A4
159,159,"2014 International Workshop on Programming Models and Applications for Multicores and Manycores, in conjunction with PPoPP '14 ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming",2014.0,-,conferencia,models,acm sigplan symposium on principles and practice of parallel programming,acm sigplan symposium on principles and practice of parallel programming,acm sigplan symposium on principles and practice of parallel programming,acm sigplan symposium on principles and practice of parallel programming,53,100,54,100,,A2,,A2
160,160,2014 XL Latin American Computing Conference (CLEI),2014.0,-,conferencia,latin,latin american networking conference,latin american networking conference,latin american high performance computing conference,latin american high performance computing conference,70,83,72,84,,B4,,nulo
161,161,XLVI Simpósio Brasileiro de Pesquisa Operaciona,2014.0,-,conferencia,-,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,93,99,93,96,B3,B3,B3,B3
162,162,2014 International Conference on Computational Science,2014.0,-,conferencia,-,international conference on computational science,international conference on computational science,international conference on computational science,international conference on computational science,95,100,95,100,B2,B2,B2,B2
163,163,The 15th International Conference on Computational Science and Its Applications (ICCSA 2015),2015.0,-,conferencia,its,international conference on computational science and its applications,international conference on computational science,international conference on computational science and its applications,international conference on computational science,86,100,88,100,A3,B2,A3,B2
164,164,International Conference on Computational Science - ICCS 2015,2015.0,-,conferencia,iccs,international conference on computational science,international conference on computational science,international conference on computational science,international conference on computational science,89,100,91,100,B2,B2,B2,B2
165,165,16th International Conference Computational Science and Its Applications ? ICCSA 2016,2016.0,-,conferencia,its,international conference on computational science and its applications,international conference on computational science and its applications,international conference on computational science and its applications,international conference on computational science and its applications,86,96,88,98,A3,A3,A3,A3
166,166,2016 28th International Symposium on Computer Architecture and High Performance Computing (SBACPAD),2016.0,-,conferencia,-,international symposium on computer architecture and high performance computing,international symposium on computer architecture,international symposium on computer architecture and high performance computing,international symposium on computer architecture,89,100,90,100,A4,A1,A4,A1
167,167,18th International Conference on High Performance Computing and Communications,2016.0,-,conferencia,-,international conference on high performance computing and communications,international conference on high performance computing and communications,international conference on high performance computing and communications,international conference on high performance computing and communications,97,100,97,100,A3,A3,A3,A3
168,168,2017 International Symposium on Computer Architecture and High Performance Computing Workshops (SBACPADW),2017.0,-,conferencia,sbacpadw,international symposium on computer architecture and high performance computing workshop,international symposium on computer architecture,international symposium on computer architecture and high performance computing workshop,international symposium on computer architecture,91,100,92,100,B3,A1,B3,A1
169,169,Simpósio em Sistemas Computacionais de Alto Desempenho - WSCAD 2017,2017.0,-,conferencia,wscad,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,89,100,91,100,B1,B1,B1,B1
170,170,30th International Symposium on Computer Architecture and High Performance Computing,2018.0,-,conferencia,-,international symposium on computer architecture and high performance computing,international symposium on computer architecture,international symposium on computer architecture and high performance computing,international symposium on computer architecture,97,100,97,100,A4,A1,A4,A1
171,171,International Conference on Algorithms and Architectures for Parallel Processing (ICA3PP),2007.0,-,conferencia,ica3pp,international conference on algorithms and architectures for parallel processing,international conference on algorithms and architectures for parallel processing,international conference on algorithms and architectures for parallel processing,international conference on algorithms and architectures for parallel processing,95,100,96,100,B1,B1,B1,B1
172,172,IEEE International Workshop on Genomic Signal Processing and Statistics,2009.0,-,conferencia,-,ieee international workshop on machine learning for signal processing,international i*workshop,"international conference on systems, signals and image processing",international i*workshop,74,92,74,96,,B4,,B4
173,173,International Conference on Intelligent Systems for Molecular Biology,2006.0,-,conferencia,-,iaria international conference on intelligent systems and applications,brazilian conference on intelligent system,international conference on hybrid intelligent systems,sai intelligent systems conference,78,88,80,94,,A4,B2,B1
174,174,International Symposium on Bioinformatics Research and Applications,2010.0,-,conferencia,-,international symposium on bioinformatics research and applications,international symposium on bioinformatics research and applications,international symposium on bioinformatics research and applications,international symposium on bioinformatics research and applications,100,100,100,100,A4,A4,A4,A4
175,175,1° Reunião da ABECO e 5° Simpósio de Ecologia Teórica,2016.0,-,conferencia,-,simposio brasileiro de tecnologia da informacao,workshop de tecnologia adaptativa,simposio teoria y aplicaciones de mineria de datos,simposio teoria y aplicaciones de mineria de datos,51,62,63,61,,,,
176,176,2018 International Conference on Computer Science and its Applications - ICCSA,2018.0,-,conferencia,its,international conference on computational science and its applications,international conference on computer design,international conference on computational science and its applications,international cad conference,85,93,86,92,A3,A3,A3,B2
177,177,2018 International Conference on Computational Sciences and its Applications - ICCSA,2018.0,-,conferencia,its,international conference on computational science and its applications,international conference on computational science,international conference on computational science and its applications,international conference on computational science and its applications,91,100,92,94,A3,B2,A3,A3
178,178,2016 IEEE 16th International Conference on Bioinformatics and Bioengineering (BIBE),,-,conferencia,bibe,ieee international conference on bioinformatics and bioengineering,ieee international conference on bioinformatics and bioengineering,ieee international conference on bioinformatics and bioengineering,ieee international conference on bioinformatics and bioengineering,89,94,90,100,A3,A3,A3,A3
179,179,VI Encontro de Iniciação Científica (Módulo PIBIC/CNPq: UFG-UFU-UFMS-UCG-UCDB),1996.0,-,conferencia,-,encontro nacional de inteligencia artificial e computacional,ieee scientific visualization,encontro nacional de inteligencia artificial e computacional,encontro nacional da associacao nacional de pos-graduacao e pesquisa em administracao,45,55,46,48,,,,
180,180,III SECICOM - Semana de Ciência da Computação,2000.0,-,conferencia,-,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio de mecanica computacional,seminario de computacao e mercado,seminario de computacao e mercado,57,62,63,66,,,,
181,181,X Seminário Regional de Informática,2000.0,-,conferencia,-,simposio internacional de informatica educatica,simposio internacional de informatica educatica,workshop de informatica medica,workshop de informatica na escola,63,71,65,68,,,,
182,182,I WORTEC - Workshop Regional de Tecnologia em Computação,2001.0,-,conferencia,-,workshop sobre educacao em computacao,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,62,70,62,80,,,,B4
183,183,International Conference on Parallel and Distributed Processing Techniques and Applications,2004.0,-,conferencia,-,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel processing,100,100,100,100,B2,B2,B2,A3
184,184,X Simpósio de Informática - SIMS 2005,2005.0,-,conferencia,-,simposio de instrumentacao e imagens medicas,simposio de instrumentacao e imagens medicas,simposio brasileiro de sistemas de informacao,simposio brasileiro de informatica na educacao,62,68,68,79,,,,
185,185,ICANNGA - International Conference on Adaptive and Natural Computing Algorithms,2005.0,-,conferencia,-,international conference on adaptive and intelligent systems,international cad conference,international conference on big data and cloud computing,international cad conference,72,86,72,92,,B2,,B2
186,186,IV Congresso Iberdiscap: Tecnologias de Apoio a Portadores de Deficiência,2006.0,-,conferencia,iv,congresso sobre tecnologias na educacao,congresso sobre tecnologias na educacao,congresso sobre tecnologias na educacao,congresso sobre tecnologias na educacao,57,69,59,70,,,,
187,187,Workshop de Dissertações de Mestrado em Andamento,2001.0,-,conferencia,-,workshop de gestao de identidades digitais,workshop iberchip,workshop brasileiro de metodos ageis,workshop iberchip,62,65,59,64,,,,
188,188,Euro PVM/MPI - European Parallel Virtual Machine and Message Passing Interface Conference,2003.0,-,conferencia,euro,ieee international instrumentation and measurement technology conference,agile conference,european conference on interactive tv and video,european control conference,52,81,60,83,,A3,,A2
189,189,I WTA - Workshop de Tecnologia Adaptativa,2007.0,-,conferencia,wta,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,89,100,92,100,B4,B4,B4,B4
190,190,III COMSULMT - Congresso de Computação do Sul de Mato Grosso,2007.0,-,conferencia,-,workshop de pesquisa em computacao dos campos gerais,seminario de computacao e mercado,congresso nacional de matematica aplicada e computacional,seminario de computacao e mercado,55,64,54,57,,,,
191,191,III Workshop de Tecnologia Adaptativa - WTA2009,2009.0,-,conferencia,-,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,82,100,85,100,B4,B4,B4,B4
192,192,12o. Congresso Regional de Informática e Telecomunicações de Mato Grosso,2008.0,-,conferencia,-,congreso internacional de informatica educativa,congresso brasileiro de informatica em saude,congresso internacional de design da informacao,congresso brasileiro de informatica em saude,61,75,63,71,,,,
193,193,"I Feira de Tecnologias, Engenharias e Ciências de Mato Grosso do Sul - FETEC-MS",2011.0,-,conferencia,ms,federated conference on computer science and information systems,future technologies conference,workshop de tecnologia da informacao e comunicacao das instituicoes federais de ensino superior do brasil,workshop de tecnologia da informacao e comunicacao das instituicoes federais de ensino superior do brasil,48,60,54,54,,,,
194,194,"Feira de Tecnologia, Engenharia e Ciências de Mato Grosso do Sul (I FETEC-MS)",2011.0,-,conferencia,ms,federated conference on computer science and information systems,workshop de tecnologia adaptativa,workshop de tecnologia da informacao e comunicacao das instituicoes federais de ensino superior do brasil,workshop de tecnologia adaptativa,48,58,54,57,,,,
195,195,XIII Sudeste PET,2013.0,-,conferencia,pet,simposio brasileiro de sistemas eletricos,"international symposium on communication systems, networks and digital signal processing",ieee vlsi test symposium,ieee vlsi test symposium,42,56,45,45,,,,
196,196,XX Workshop de Informática na Escola (WIE 2014),2014.0,-,conferencia,wie,workshop de informatica na escola,workshop de informatica na escola,workshop de informatica na escola,workshop de informatica na escola,82,100,85,100,A4,A4,A4,A4
197,197,X Workshop de Visão Computacional (WVC 2014),2014.0,-,conferencia,wvc,workshop de visao computacional,workshop de visao computacional,workshop de visao computacional,workshop de visao computacional,83,100,85,100,B4,B4,B4,B4
198,198,Conference and Labs of the Evaluation Forum (CLEF 2014),2014.0,-,conferencia,clef,conference and labs of the evaluation forum,conference and labs of the evaluation forum,conference and labs of the evaluation forum,conference and labs of the evaluation forum,88,100,90,100,B3,B3,B3,B3
199,199,VIII Workshop de Tecnologia Adaptativa (WTA 2014),2014.0,-,conferencia,wta,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,80,100,82,100,B4,B4,B4,B4
200,200,42o. Seminário Integrado de Software e Hardware (SEMISH 2015),2015.0,-,conferencia,semish,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,82,100,84,100,B1,B1,B1,B1
201,201,XXI Workshop de Informática na Escola,,-,conferencia,-,workshop de informatica na escola,workshop de informatica na escola,workshop de informatica na escola,workshop de informatica na escola,94,100,94,100,A4,A4,A4,A4
202,202,XXVI Simpósio Brasileiro de Informática na Educação,,-,conferencia,-,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,95,100,95,100,A3,A3,A3,A3
203,203,I Concurso Integrado de Desenvolvimento de Soluções de Tecnologia e Objetos de Aprendizagem para a Educação,,-,conferencia,-,simposio internacional de educacao a distancia e encontro de pesquisadores em educacao a distancia,workshop de desenvolvimento distribuido de software,"international technology, education and development conference","international technology, education and development conference",52,63,55,57,,,,
204,204,Encontro de Extensão Universitária da UFMS (ENEX2014),2015.0,-,conferencia,-,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,international conference on music perception and cognition,congresso internacional de design da informacao,47,55,50,51,,,,
205,205,Encontro de Extensão Universitária da UFMS (ENEX2014),2014.0,-,conferencia,-,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,international conference on music perception and cognition,congresso internacional de design da informacao,47,55,50,51,,,,
206,206,X Congresso Brasileiro de Agroinformática (SBIAGRO 2015),2015.0,-,conferencia,sbiagro,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,82,100,84,100,B4,B4,B4,B4
207,207,2016 XI Latin American Conference on Learning Objects and Technology (LACLO),2016.0,-,conferencia,latin,latin american conference on learning objects and technologies,latin american conference on learning objects and technologies,latin american conference on learning objects and technologies,latin american conference on learning objects and technologies,86,95,88,88,B2,B2,B2,B2
208,208,Computer on the Beach 2015,2015.0,-,conferencia,-,computer on the beach,computer on the beach,computer on the beach,computer on the beach,89,100,89,100,B3,B3,B3,B3
209,209,Workshops do Congresso Brasileiro de Informática na Educação,2016.0,-,conferencia,-,workshops do congresso brasileiro de informatica na educacao,workshops do congresso brasileiro de informatica na educacao,workshops do congresso brasileiro de informatica na educacao,workshops do congresso brasileiro de informatica na educacao,100,100,100,100,B2,B2,B2,B2
210,210,XXII Workshop de Informática na Escola,2016.0,-,conferencia,-,workshop de informatica na escola,workshop de informatica na escola,workshop de informatica na escola,workshop de informatica na escola,93,100,93,100,A4,A4,A4,A4
211,211,XXIV Ciclo de Palestras sobre Novas Tecnologias na Educação - CINTED 2016,2016.0,-,conferencia,-,congresso sobre tecnologias na educacao,congresso sobre tecnologias na educacao,congresso sobre tecnologias na educacao,congresso sobre tecnologias na educacao,62,82,62,85,,B4,,B4
212,212,Mostra Nacional de Robótica - MNR,2016.0,-,conferencia,-,simposio brasileiro de robotica,congresso internacional de ergonomia e usabilidade de interfaces humano computador,international conference on advanced robotics,international conference on advanced robotics,59,67,61,61,,,,
213,213,X Workshop de Tecnologia Adaptativa - WTA 2016,2016.0,-,conferencia,wta,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,workshop de tecnologia adaptativa,84,100,86,100,B4,B4,B4,B4
214,214,XI Workshop de Visão Computacional - WVC 2015,2015.0,-,conferencia,wvc,workshop de visao computacional,workshop de visao computacional,workshop de visao computacional,workshop de visao computacional,82,100,84,100,B4,B4,B4,B4
215,215,I Encontro Centro-Oeste dos Grupos PET - ECOPET 2014,2014.0,-,conferencia,pet,international conference on formal aspects of component software,american control conference,ieee conference on norbert wiener in the 21st century,ieee conference on norbert wiener in the 21st century,47,52,49,49,,,,
216,216,Computer on the Beach,2019.0,-,conferencia,-,computer on the beach,computer on the beach,computer on the beach,computer on the beach,100,100,100,100,B3,B3,B3,B3
217,217,VIII Workshop de Desafios da Computação Aplicada à Educação - DesafIE,2019.0,-,conferencia,desafie,workshop de desafios da computacao aplicada a educacao,workshop de desafios da computacao aplicada a educacao,workshop de desafios da computacao aplicada a educacao,workshop de desafios da computacao aplicada a educacao,88,100,89,100,B4,B4,B4,B4
218,218,Computer on the Beach,2021.0,-,conferencia,-,computer on the beach,computer on the beach,computer on the beach,computer on the beach,100,100,100,100,B3,B3,B3,B3
219,219,Workshop sobre Educação em Computação,2021.0,-,conferencia,-,workshop sobre educacao em computacao,workshop sobre educacao em computacao,workshop sobre educacao em computacao,workshop sobre educacao em computacao,100,100,100,100,A4,A4,A4,A4
220,220,IGARSS 2019 2019 IEEE International Geoscience and Remote Sensing Symposium,2019.0,-,conferencia,igarss,ieee international geoscience and remote sensing symposium,ieee international geoscience and remote sensing symposium,ieee international geoscience and remote sensing symposium,ieee international geoscience and remote sensing symposium,87,100,87,100,A3,A3,A3,A3
221,221,ENIAC - Encontro Nacional de Inteligência Artificial e Computacional,2017.0,-,conferencia,eniac,encontro nacional de inteligencia artificial e computacional,encontro nacional de inteligencia artificial e computacional,encontro nacional de inteligencia artificial e computacional,encontro nacional de inteligencia artificial e computacional,94,100,95,100,B4,B4,B4,B4
222,222,Workshop de Tecnologia da Informação e Comunicação das Instituições Federais de Ensino Superior,2017.0,-,conferencia,das,workshop de tecnologia da informacao e comunicacao das instituicoes federais de ensino superior do brasil,workshop de tecnologia da informacao e comunicacao das instituicoes federais de ensino superior do brasil,workshop de tecnologia da informacao e comunicacao das instituicoes federais de ensino superior do brasil,workshop de tecnologia da informacao e comunicacao das instituicoes federais de ensino superior do brasil,95,100,95,100,B4,B4,B4,B4
223,223,IV Fórum de Educação em Engenharia de Software/ II Congresso Brasileiro de Software: Teoria e Prática (CBSoft),2011.0,-,conferencia,iv,workshop de engenharia de software baseada em busca,congresso brasileiro de automatica,workshops do congresso brasileiro de informatica na educacao,congresso brasileiro de engenharia biomedica,50,79,61,87,,,,B4
224,224,VII WAMPS - VII Workshop Anual do MPS,2011.0,-,conferencia,-,latin american workshop on cliques in graphs,workshop on exascale mpi,workshop on exascale mpi,workshop iberchip,52,67,58,64,,,,
225,225,XXII SBIE - XXII Simpósio Brasileiro de Informática na Educação,2011.0,-,conferencia,sbie,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,84,100,86,100,A3,A3,A3,A3
226,226,XXIV CIUFLA - XXIV Congresso de Iniciação Científica da UFLA,2011.0,-,conferencia,-,congreso internacional de informatica educativa,congresso brasileiro de automatica,congresso da associacao nacional de pesquisa e pos-graduacao em musica,congresso internacional de design da informacao,47,56,52,60,,,,
227,227,XI Simpósio Brasileiro de Qualidade de Software,2012.0,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,97,100,97,100,B1,B1,B1,B1
228,228,2012 IEEE 13th International Conference on Information Reuse &amp; Integration (IRI),,-,conferencia,iri,ieee international conference on information reuse and integration,international conference on information fusion,ieee international conference on information reuse and integration,ieee international conference on information reuse and integration,85,91,88,97,A4,A2,A4,A4
229,229,25th International Conference on Software Engineering and Knowledge Engineering (SEKE),2013.0,-,conferencia,seke,international conference on software engineering and knowledge engineering,international conference on software engineering,international conference on software engineering and knowledge engineering,international conference on software engineering,92,100,94,100,B1,A1,B1,A1
230,230,IV Congresso Brasileiro de Software: Teoria e Prática,2013.0,-,conferencia,iv,congresso brasileiro de automatica,congresso brasileiro de automatica,congresso brasileiro de informatica em saude,congresso brasileiro de automatica,74,79,77,81,,,,B4
231,231,2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),2016.0,-,conferencia,icsme,ieee international conference on software maintenance and evolution,ieee international conference on software maintenance and evolution,ieee international conference on software maintenance and evolution,ieee international conference on software maintenance and evolution,91,100,92,100,A2,A2,A2,A2
232,232,Workshop on Experimental Software Engineering - CIbSE,2015.0,-,conferencia,cibse,workshop on modeling in software engineering,software engineering track,workshop on modeling in software engineering,software engineering track,74,85,78,87,,B2,,B2
233,233,"V Workshop on Software Visualization, Evolution and Maintenance (VEM)",2017.0,-,conferencia,vem,"workshop on software visualization, evolution and maintenance","workshop on software visualization, evolution and maintenance","workshop on software visualization, evolution and maintenance","workshop on software visualization, evolution and maintenance",94,100,95,100,B1,B1,B1,B1
234,234,12th International Conference on Predictive Models and Data Analytics in Software Engineering,2016.0,-,conferencia,models,international conference on predictive models and data analytics in software engineering,international conference on predictive models and data analytics in software engineering,international conference on predictive models and data analytics in software engineering,international conference on software engineering,97,100,97,100,B2,B2,B2,A1
235,235,2013 20th Working Conference on Reverse Engineering (WCRE),2013.0,-,conferencia,wcre,working conference on reverse engineering,working conference on reverse engineering,working conference on reverse engineering,working conference on reverse engineering,83,100,85,100,A3,A3,A3,A3
236,236,15th International Conference on Computing,2006.0,-,conferencia,-,international conference on supercomputing,acm international conference on computing frontiers,international conference on autonomic computing,"international conference on p2p, parallel, grid, cloud and internet computing",88,90,88,94,A2,A4,A3,B1
237,237,The Eleventh Annual International Computing and Combinatorics Conference (COCOON 2005),2005.0,-,conferencia,cocoon,international computing and combinatorics conference,international computing and combinatorics conference,international computing and combinatorics conference,international computing and combinatorics conference,75,100,76,100,,A4,,A4
238,238,"IV Latin-American Algorithms, Graphs and Optimization Symposium",2007.0,-,conferencia,iv,"latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium",98,100,98,100,B3,B3,B3,B3
239,239,8th Workshop on Algorithms in Bioinformatics (WABI),2008.0,-,conferencia,wabi,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,88,100,90,100,A3,A3,A3,A3
240,240,14th Workshop on Algorithms in Bioinformatics (WABI 2014),2014.0,-,conferencia,wabi,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,82,100,84,100,A3,A3,A3,A3
241,241,9th Brazilian Symposium on Bioinformatics (BSB 2014),2014.0,-,conferencia,bsb,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,83,100,85,100,B1,B1,B1,B1
242,242,"16th Workshop on Algorithms in Bioinformatics (WABI),",2016.0,-,conferencia,wabi,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,86,100,89,100,A3,A3,A3,A3
243,243,Workshop on Algorithms in Bioinformatics,2020.0,-,conferencia,-,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,100,100,100,100,A3,A3,A3,A3
244,244,Concurso de Teses e Dissertações da SBC,,-,conferencia,-,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,congresso internacional de design da informacao,congresso internacional de design da informacao,61,62,51,51,,,,
245,245,32nd International Symposium on Algorithms and Computation (ISAAC 2021),2021.0,-,conferencia,isaac,international symposium algorithms and computation,international symposium algorithms and computation,international symposium algorithms and computation,international symposium algorithms and computation,83,94,84,100,A3,A3,A3,A3
246,246,15th RECOMB Comparative Genomics Satellite Conference,2017.0,-,conferencia,recomb,computer graphics international conference,agile conference,acm conference on economics and computation,agile conference,55,81,60,77,,A3,,
247,247,XII Encontro de Pesquisa em Ensino de Física,2010.0,-,conferencia,-,congresso da associacao nacional de pesquisa e pos-graduacao em musica,simposio internacional de educacao a distancia e encontro de pesquisadores em educacao a distancia,simposio brasileiro de sensoriamento remoto,encontro nacional da associacao nacional de pos-graduacao e pesquisa em administracao,53,68,53,72,,,,
248,248,The Third International Society for Computational Biology Latin America X-Meeting on Bioinformatics with BSB and SoiBio (ISCB-Latin America),2014.0,-,conferencia,latin,international conference on computational systems-biology and bioinformatics,international conference on computational logistics,international conference on computational systems-biology and bioinformatics,international conference on bioinformatics & computational biology,55,75,62,91,,,,B3
249,249,"8th International Conference on Bioinformatics Models, Methods and Algorithms",2017.0,-,conferencia,models,international conference on brain informatics and health,international conference on social informatics,international conference on methods and models in automation and robotics,international cad conference,75,87,72,92,,A3,,B2
250,250,Simpósio Brasileiro de Banco de Dados,2002.0,-,conferencia,-,simposio brasileiro de banco de dados,simposio brasileiro de banco de dados,simposio brasileiro de banco de dados,simposio brasileiro de banco de dados,100,100,100,100,A4,A4,A4,A4
251,251,4a Jornada Científica da Embrapa Gado de Cort,2008.0,-,conferencia,-,annual conference and international lidar mapping forum,annual conference and international lidar mapping forum,european conference on artificial life,european conference on artificial life,50,51,51,51,,,,
252,252,VII Congresso Brasileiro de Agroinformática,2009.0,-,conferencia,-,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,95,100,95,100,B4,B4,B4,B4
253,253,XXXVI Conferência Latino-Americana de Informática,2010.0,-,conferencia,-,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,92,98,75,79,B2,B2,,
254,254,Simpósio Brasileiro de Qualidade de Software,,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,100,100,100,100,B1,B1,B1,B1
255,255,the 24th Brazilian Symposium,2018.0,-,conferencia,-,ieee haptics symposium,brazilian symposium on bioinformatics,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,60,68,66,90,,,,A4
256,256,Network and Distributed System Security Symposium,2019.0,-,conferencia,-,network and distributed system security symposium,network and distributed system security symposium,network and distributed system security symposium,network and distributed system security symposium,100,100,100,100,A1,A1,A1,A1
257,257,WWW &apos;20: The Web Conference 2020,2020.0,-,conferencia,www,graphics interface conference,agile conference,web audio conference,web audio conference,55,75,62,82,,,,B2
258,258,WebMedia &apos;20: Brazillian Symposium on Multimedia and the Web,,-,conferencia,webmedia,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,82,98,83,88,A4,A4,A4,A4
259,259,Brazilian Workshop on Social Network Analysis and Mining,2021.0,-,conferencia,-,brazilian workshop on social network analysis and mining,brazilian workshop on social network analysis and mining,brazilian workshop on social network analysis and mining,brazilian workshop on social network analysis and mining,100,100,100,100,B3,B3,B3,B3
260,260,VI Jornada Científica de Economia e Administração do Centro-Oeste,2008.0,-,conferencia,-,aaai conference on artificial intelligence and interactive digital entertainment,congresso internacional de ergonomia e usabilidade de interfaces humano computador,encontro nacional da associacao nacional de pos-graduacao e pesquisa em administracao,encontro nacional da associacao nacional de pos-graduacao e pesquisa em administracao,51,54,55,60,,,,
261,261,Congresso SIMAI,2000.0,-,conferencia,-,congresso brasileiro de automatica,congresso brasileiro de pesquisadores em cibercultura,congress on modelling and simulation,congresso brasileiro de pesquisadores em cibercultura,61,80,59,75,,B4,,
262,262,Europar'99,1999.0,-,conferencia,europar,eurohaptics,east european conference on advances in databases and information systems,eurohaptics,eurohaptics,48,60,48,48,,,,
263,263,SPIE/IS&T Symposium on Electronic Imaging: Science and Technology,1998.0,-,conferencia,spie,pacific-rim symposium on image and video technology,south symposium on microelectronics,symposium on microelectronics technology and devices,spie human vision and electronic imaging,64,74,67,81,,,,B1
264,264,Action COST 230 Final Report,1998.0,-,conferencia,-,international conference on functional programming,workshop on core computations on spatial information,symposium on spatial user interaction,symposium on spatial user interaction,49,57,52,52,,,,
265,265,"International Conference on Computational Intelligence and Multimedia Applications, ICCIMA'97",1997.0,-,conferencia,-,international conference on computational science and its applications,international conference on computational science,international conference on computational science and computational intelligence,acm international conference on multimedia,81,92,77,95,A3,B2,,A1
266,266,"Techical Report, Università Tor Vergata",1997.0,-,conferencia,-,technological ecosystems for enhancing multiculturality,technological ecosystems for enhancing multiculturality,international haifa verification conference,international haifa verification conference,47,51,47,47,,,,
