,issn,periodico,Ajuste_SBC,link_scopus,percentil,Qualis_Final,data-atualizacao,data-tentativa,logs
388,2176-462X,disciplinarum scientia. serie ciencias naturais e tecnologicas,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:09,Other error occurred: 'entry' - Status_code: 200
389,1432-0444,discrete and computational geometry (internet),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=25887,70,A3,23/01/2022 03:02:09,23/01/2022 03:02:09,atualizado com sucesso
390,0166-218X,discrete applied mathematics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=25890,73,A3,23/01/2022 03:02:09,23/01/2022 03:02:09,atualizado com sucesso
391,0012-365X,discrete mathematics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=25892,61,A4,23/01/2022 03:02:09,23/01/2022 03:02:09,atualizado com sucesso
392,1365-8050,discrete mathematics and theoretical computer science (online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=78470,58,A4,23/01/2022 03:02:09,23/01/2022 03:02:09,atualizado com sucesso
393,1793-8309,"discrete mathematics, algorithms and applications",nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100837973,39,B1,23/01/2022 03:02:09,23/01/2022 03:02:09,atualizado com sucesso
394,1572-5286,discrete optimization,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=28469,54,A4,23/01/2022 03:02:09,23/01/2022 03:02:09,atualizado com sucesso
395,0926-8782,distributed and parallel databases,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=13130,55,A4,23/01/2022 03:02:09,23/01/2022 03:02:09,atualizado com sucesso
396,1573-7578,distributed and parallel databases (dordrecht. online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=13130,55,A4,23/01/2022 03:02:09,23/01/2022 03:02:09,atualizado com sucesso
397,0376-8716,drug and alcohol dependence,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=26380,85,A2,23/01/2022 03:02:09,23/01/2022 03:02:09,atualizado com sucesso
398,1808-2599,e-compos (brasilia),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:09,Other error occurred: 'entry' - Status_code: 200
399,1808-0588,"e.t.c. educacao, tecnologia e cultura",nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
400,2318-4051,ead & tecnologias digitais na educacao,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
401,1865-0481,earth science informatics (internet),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=14500154730,65,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
402,1865-0473,earth science informatics (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=14500154730,65,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
403,0197-9337,earth surface processes and landforms (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=25751,94,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
404,0906-7590,ecography (copenhagen),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=20276,97,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
405,0925-8574,ecological engineering,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=20291,92,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
406,1574-9541,ecological informatics (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=3100147401,89,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
407,0304-3800,ecological modelling,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23274,76,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
408,1981-4224,educacao & imagem (uerj),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
409,1517-9702,educacao e pesquisa (usp.impresso),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=4700152249,28,B2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
410,2175-6236,educacao e realidade,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100897945,19,B3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
411,0102-4698,educacao em revista (ufmg - impresso),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
412,1983-3156,educacao matematica pesquisa (online),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
413,1676-2592,educacao tematica digital,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
414,1981-8106,educacao: teoria e pratica,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
415,0104-4060,educar em revista (impresso),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
416,1436-4522,educational technology & society,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18405,97,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
417,1679-4508,einstein (sao paulo),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100219310,49,B1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
418,1577-5097,elcvia. electronic letters on computer vision and image analysis,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100198475,22,B3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
419,1532-5008,electric power components and systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=16031,51,A4,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
420,0378-7796,electric power systems research (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=16044,85,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
421,0948-7921,electrical engineering (berlin. print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=16065,74,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
422,0013-4686,electrochimica acta,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=25181,96,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
423,1863-2122,electronic communications of the easst,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100824863,7,B4,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
424,0717-3458,electronic journal of biotechnology,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=15602,71,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
425,1571-0653,electronic notes in discrete mathematics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=4700152427,54,A4,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
426,2079-9292,electronics (switzerland),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100829272,52,A4,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
427,0013-5194,electronics letters,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24918,57,A4,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
428,1350-911X,electronics letters (online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24918,57,A4,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
429,1806-1877,eletroevolucao (rio de janeiro),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
430,0922-3444,elsevier (amsterdam),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
431,2176-4883,em debate (belo horizonte),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
432,1808-5245,em questao,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
433,1521-3250,"emergence (mahwah, n.j.)",nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=4700151612,31,B2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
434,1382-3256,empirical software engineering,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18650,85,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
435,1573-7616,empirical software engineering (dordrecht. online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18650,85,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
436,2317-2606,enciclopedia biosfera,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
437,1809-0583,enciclopedia biosfera,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
438,1518-2924,encontros bibli,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21101039156,5,B4,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
439,1996-1073,energies (basel),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=62932,85,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
440,0360-5442,energy (oxford),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=29348,98,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
441,0301-4215,energy policy,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=29403,95,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
442,1876-6102,energy procedia,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=17700156736,77,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
443,2352-4847,energy reports,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100389511,62,A4,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
444,1983-1277,engenharia de software magazine,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
445,1983-1277,engenharia de software magazine,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
446,1676-1790,engenharia termica,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
447,0952-1976,engineering applications of artificial intelligence,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24182,90,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
448,0969-9988,engineering construction and architectural management (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=15249,93,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
449,1350-6307,engineering failure analysis,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=20593,85,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
450,1042-9247,engineering management journal,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=29088,68,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
451,0305-215X,engineering optimization,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=29114,88,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
452,2179-7625,engineering research,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
453,0177-0667,engineering with computers,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18186,96,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
454,0104-4036,ensaio - avaliacao e politicas publicas em educacao,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=8000153130,45,B1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
455,1751-7575,enterprise information systems (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=10900153330,82,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
456,1875-9521,entertainment computing,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19400158708,63,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
457,1099-4300,entropy (basel. online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=13715,88,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
458,1352-8505,environmental and ecological statistics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23179,57,A4,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
459,1420-2026,environmental modeling and assessment,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23276,66,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
460,1364-8152,environmental modelling & software,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23295,90,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
461,0167-6369,environmental monitoring and assessment (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21482,72,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
462,1748-9326,environmental research letters,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=5200152632,96,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
463,0013-9580,epilepsia (copenhagen),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=15510,96,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
464,2193-1127,epj data science,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100397403,95,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
465,2317-8876,ergodesign & hci,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
466,0798-1015,espacios (caracas),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=11200153556,18,B3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
467,1225-6463,etri journal,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24783,70,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
468,1951-6355,eur. phys. j. special topics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=5600152816,72,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
469,1687-1499,eurasip j wirel comm,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18202,67,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
470,1687-6180,eurasip journal on advances in signal processing (online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=15300154801,57,A4,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
471,1687-4714,"eurasip journal on audio, speech and music processing (print)",nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=5100155036,66,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
472,1687-5176,eurasip journal on image and video processing (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=5200152707,69,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
473,1687-417X,eurasip journal on information security,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
474,1687-4161,eurasip journal on multimedia and information security (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100812851,73,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
475,1687-1499,eurasip journal on wireless communications and networking,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18202,67,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
476,2192-4406,euro journal on computational optimization (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100827466,85,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
477,2192-4376,euro journal on transportation and logistics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100862198,83,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
478,2349-8870,european journal of biomedical and pharmaceutical sciences,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
479,0954-3007,european journal of clinical nutrition,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=12538,80,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
480,0195-6698,european journal of combinatorics (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=26445,67,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
481,1751-5254,european journal of industrial engineering,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=11200153401,56,A4,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
482,2042-115X,european journal of law and technology,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
483,0223-5234,european journal of medicinal chemistry,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=17464,94,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
484,0377-2217,european journal of operational research,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=22489,97,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
485,0928-0987,european journal of pharmaceutical sciences,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21331,87,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
486,2279-7254,european journal of remote sensing,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100205502,95,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
487,1450-216X,european journal of scientific research,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
488,1434-6036,"european physical journal. b, condensed matter and complex systems (internet)",nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=27542,46,B1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
489,0014-3057,european polymer journal,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=25854,90,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
490,0924-9338,european psychiatry (paris),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=15578,86,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
491,0938-7994,european radiology,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=16687,91,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
492,2212-764X,european research in telemedicine / la recherche europeenne en telemedecine,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100207004,33,B2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
493,1124-318X,european transactions on telecommunications,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18817,67,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
494,0295-5075,europhysics letters (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=27551,65,A3,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
495,1808-2307,evidencia: olhares e pesquisa em saberes educacionais,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:34,Other error occurred: 'entry' - Status_code: 200
496,1063-6560,evolutionary computation,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24966,95,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
497,1530-9304,evolutionary computation (online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24966,95,A1,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
498,1864-5909,evolutionary intelligence (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=14500154734,87,A2,23/01/2022 03:02:34,23/01/2022 03:02:34,atualizado com sucesso
499,1983-9308,exacta (online),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:55,Other error occurred: 'entry' - Status_code: 200
500,1678-5428,exacta (sao paulo. impresso),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:55,Other error occurred: 'entry' - Status_code: 200
501,1746-0441,expert opinion on drug discovery (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=6800153101,87,A2,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
502,1742-5255,expert opinion on drug metabolism & toxicology,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=4700152856,86,A2,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
503,0266-4720,expert systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24185,67,A3,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
504,0957-4174,expert systems with applications,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24201,98,A1,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
505,1982-4432,extensao em foco (curitiba),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:55,Other error occurred: 'entry' - Status_code: 200
506,2046-1402,f1000research,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100258853,81,A2,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
507,0972-0871,far east journal of mathematical sciences: fjms,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=17900156722,34,B2,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
508,0354-5180,filomat,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19900192450,63,A3,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
509,1396-0466,first monday (online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=200147134,57,A4,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
510,0363-2415,"fisheries (bethesda, md.)",nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=12760,61,A4,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
511,1980-5918,fisioterapia em movimento,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21101049549,nulo,nulo,nulo,23/01/2022 03:02:55,sem valor de percentil
512,0103-5150,fisioterapia em movimento (pucpr. impresso),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:55,Other error occurred: 'entry' - Status_code: 200
513,1809-3469,fisioterapia ser,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:55,Other error occurred: 'entry' - Status_code: 200
514,1936-6582,flexible services and manufacturing journal,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=17600155106,78,A2,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
515,1677-0323,flf.edu,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:55,Other error occurred: 'entry' - Status_code: 200
516,0955-5986,flow measurement and instrumentation,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=15026,74,A3,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
517,2157-944X,food and nutrition sciences,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:55,Other error occurred: 'entry' - Status_code: 200
518,0308-8146,food chemistry,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24039,97,A1,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
519,0956-7135,food control,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=22577,95,A1,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
520,0963-9969,food research international,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23180,93,A1,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
521,0379-0738,forensic science international,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=27743,94,A1,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
522,0718-5006,formacion universitaria,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100211373,59,A4,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
523,0934-5043,formal aspects of computing,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24980,57,A4,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
524,1433-299X,formal aspects of computing (internet),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24980,57,A4,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
525,2318-6356,forscience,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:55,Other error occurred: 'entry' - Status_code: 200
526,2368-7533,foundations - journal of the professional petroleum data management association (print),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:02:55,Other error occurred: 'entry' - Status_code: 200
527,1551-3955,foundations and trends in human-computer interaction (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=9000153101,98,A1,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
528,1554-0669,foundations and trends in information retrieval,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=5100155071,99,A1,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
529,1615-3375,foundations of computational mathematics (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=28470,97,A1,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
530,2296-4185,frontiers in bioengineering and biotechnology,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100835954,44,B1,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
531,1662-5102,frontiers in cellular neuroscience,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19700175163,68,A3,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
532,1662-5188,frontiers in computational neuroscience,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19700175168,68,A3,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
533,1664-8021,frontiers in genetics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100236803,44,B1,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
534,1664-302X,frontiers in microbiology (online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100226442,84,A2,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
535,1662-5196,frontiers in neuroinformatics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19700175167,89,A1,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
536,1662-453X,frontiers in neuroscience,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100199812,60,A4,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
537,1664-042X,frontiers in physiology,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100215107,70,A3,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
538,1664-0640,frontiers in psychiatry,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100216569,63,A3,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
539,1664-1078,frontiers in psychology,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100216571,73,A3,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
540,2296-2565,frontiers in public health,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100798718,56,A4,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
541,2095-9184,frontiers of information technology & electronic engineering,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100409130,70,A3,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
542,1438-793X,functional & integrative genomics (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=22119,68,A3,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
543,0169-2968,fundamenta informaticae,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=28474,90,A1,23/01/2022 03:02:55,23/01/2022 03:02:55,atualizado com sucesso
