,sigla,conferencia,categoria,link,CE_Indicou,h5,Qualis_Final,data-atualizacao,data-tentativa,logs,h5_old,Uso do Scholar,Qualis 2016,Qualis_Sem_Inducao,Ajuste ou evento SBC
385,eccv,european conference on computer vision,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=cwIh2C-xo8kJ.2018,Top10,104,A1,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,104,-,A1,A1,-
386,eccws,european conference on cyber warfare and security,1,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=nOUtk1NpeJYJ.2019,nulo,7,B3,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,-,-,-,-,-
387,ecir,european conference on information retrieval,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=02SGYBvIz80J.2018,Relevante,26,A2,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,26,-,A2,A2,-
388,ecis,european conference on information systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=dF8xpB0_PnwJ.2018,Top10,30,A2,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,30,-,A2,A2,-
389,ecmdafa,european conference on modelling foundations and applications,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Conference+on+Modelling+Foundations+and+Applications&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,14,B1,link sem info h5,15/08/2021 03:16:07,não encontrou a tag span: list index out of range,14,1,B1,B1,-
390,ecml,european conference on machine learning and principles and practice of knowledge discovery in databases,2,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=B_DfwWWmEnMJ.2018,Top20,30,A2,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,30,-,A1,A2,-
391,ecmr,european conference on mobile robots,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=E-Dt3HzExLsJ.2019,Top20,15,A3,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,15,-,-,A4,-
392,ecms,european conference on modelling and simulation,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=wJmQhbxZnfgJ.2018,nulo,12,B1,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,12,-,B1,B1,-
393,ecoop,european conference on object-oriented programming,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=QHz4g2YxOYgJ.2018,Relevante,23,A3,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,23,-,A2,A3,-
394,ecrts,euromicro conference on real-time systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=tsuNspfpsn4J.2018,Top10,26,A2,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,26,-,A1,A2,-
395,ecsa,european conference on software architecture,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=hbCKVuECYrEJ.2018,Relevante,17,A4,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,17,-,B1,A4,-
396,ecsaw,european conference on software architecture workshops,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Conference+on+Software+Architecture+Workshops&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,11,B2,link sem info h5,15/08/2021 03:16:07,não encontrou a tag span: list index out of range,11,1,B4,B2,-
397,ecsqaru,european conference on symbolic and quantitative approaches to reasoning and uncertainty,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=NPzpQ2AW63QJ.2018,Top20,11,B1,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,11,-,B1,B2,-
398,ecta,international conference on evolutionary computation theory and applications,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Evolutionary+Computation+Theory+and+Applications&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:16:07,não encontrou a tag span: list index out of range,2,1,B5,B4,-
399,ectel,european conference on technology enhanced learning,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Conference+on+Technology+Enhanced+Learning&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,18,A4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,18,1,B1,A4,-
400,ecweb,international conference on electronic commerce and web technologies,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Electronic+Commerce+and+Web+Technologies&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,10,B2,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,10,1,B3,B2,-
401,edbt,international conference on extending database technology,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=WuE3NzMRZNAJ.2018,Top10,29,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,29,-,A1,A2,-
402,edcc,european dependable computing conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=o7m_477rT9kJ.2018,Top20,10,B1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,10,-,B3,B2,-
403,edm,international conference on educational data mining,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=omHmP0TWqbUJ.2018,Top20,26,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,26,-,A2,A2,-
404,edoc,ieee international enterprise distributed object computing conference,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=HYNXXKncPYAJ.2018,nulo,20,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,20,-,A2,A3,-
405,eeewc,"international conference on e-learning, e-business, enterprise information systems, and e-government",2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+e-Learning%2C+e-Business%2C+Enterprise+Information+Systems%2C+and+e-Government&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,Relevante,5,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,5,1,B5,B4,-
406,egov,international conference on electronic government,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=UF-KqO2gwjoJ.2018,Relevante,16,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,16,-,B1,A4,-
407,egov-cedem-epart,international conference on electronic government/international conference for e-democracy and open government,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=UF-KqO2gwjoJ.2018,Relevante,16,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,16,-,-,A4,-
408,egovis,international conference on electronic government and the information systems perspective,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Electronic+Government+and+the+Information+Systems+Perspective&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,Relevante,13,B1,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,13,1,B2,B1,-
409,eics,acm sigchi symposium on engineering interactive computing systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=8ZzKUGSn8EwJ.2018,Top20,17,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,17,-,A2,A4,-
410,eidwt,international conference on emerging intelligent data and web technologies,1,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=27eO0KviuRoJ.2018,nulo,9,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,-,-,-,-,-
411,eis,spie human vision and electronic imaging,1,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=x5DYQpZM6p4J.2018,nulo,14,B1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,14,-,B5,B1,-
412,eknow,"iaria international conference on information, process, and knowledge management",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IARIA+International+Conference+on+Information%2C+Process%2C+and+Knowledge+Management&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,2,1,B5,B4,-
413,elecai,"electronics, computers and artificial intelligence",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Electronics%2C+Computers+and+Artificial+Intelligence&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,nulo,10,B2,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,10,1,-,B2,-
414,em-gis,international workshop on the use of gis in emergency management,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+the+Use+of+GIS+in+Emergency+Management&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Relevante,4,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,4,1,-,B4,-
415,emas,international workshop on engineering multiagent systems,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Engineering+Multiagent+Systems&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,1,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,1,1,B4,B4,-
416,embc,annual international conference of the ieee engineering in medicine and biology society,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=bZm_HiepFhUJ.2018,Top10,31,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,31,-,B1,A2,-
417,embs,ieee-embs international conference on biomedical and health informatics,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=BgO65-j_oeEJ.2019,Top10,13,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,13,-,-,B1,-
418,emnlp,conference on empirical methods in natural language processing,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=LqrQjvOguiMJ.2018,Top10,76,A1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,76,-,A1,A1,-
419,emo,international conference on evolutionary multi-criterion optimization,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=RR-6cJymka4J.2018,nulo,18,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,18,-,B1,A4,-
420,emsoft,acm international conference on embedded software,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=qtGE7auaGpUJ.2018,Top10,19,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,19,-,-,A4,-
421,enanpad,encontro nacional da associacao nacional de pos-graduacao e pesquisa em administracao,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Encontro+Nacional+da+Associa%C3%A7%C3%A3o+Nacional+de+P%C3%B3s-Gradua%C3%A7%C3%A3o+e+Pesquisa+em+Administra%C3%A7%C3%A3o%09&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Top20,7,B2,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,7,1,-,B3,-
422,enase,international conference on evaluation of novel approaches to software engineering,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Q2z8twK6gqAJ.2018,nulo,10,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,10,-,B2,B2,-
423,energy-iaria,"iaria international conference on smart grids, green communications and it energy-aware technologies",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IARIA+International+Conference+on+Smart+Grids%2C+Green+Communications+and+IT+Energy-aware+Technologies&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,2,1,B5,B4,-
424,eniac,encontro nacional de inteligencia artificial e computacional,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Encontro+Nacional+de+Inteligencia+Artificial+e+Computacional&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,Relevante,2,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,2,1,B4,B4,-
425,enic,european network intelligence conference,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Network+Intelligence+Conference&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,8,B3,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,8,1,B2,B3,-
426,epia,portuguese conference on artificial intelligence,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=SDrbTPLn2T0J.2018,nulo,10,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,10,-,B1,B2,-
427,er,international conference on conceptual modeling,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=wB6WaEpFlvgJ.2018,Top10,20,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,20,-,B1,A3,-
428,erlang,acm sigplan erlang workshop,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=ACM+SIGPLAN+Erlang+Workshop&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,6,B3,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,6,1,B4,B3,-
429,esa,european symposium on algorithms,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=sNtxnFuOq5YJ.2018,Top10,23,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,23,-,A2,A3,-
430,esann,"european symposium on artificial neural networks, computational intelligence and machine learning",2,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=G2W6LcMuSNwJ.2018,Relevante,14,B1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,14,-,B1,B1,-
431,escience,cience - ieee international conference on e-science,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=6RxgACAtCdcJ.2018,Top10,13,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,13,-,B1,B1,-
432,esec/fse,joint meeting on european software engineering conference and foundations of software engineering,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=CwfZO4J4a4UJ.2019,Top10,51,A1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,50,-,A1,A1,-
433,eselaw,workshop latinoamericano de ingenieria de software experimental,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+Latinoamericano+de+Ingenier%C3%ADa+de+Software+Experimental&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,Relevante,1,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,1,1,B4,B4,-
434,esem,acm/ieee international symposium on empirical software engineering and measurement,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=TWG2GULnchAJ.2018,Top20,21,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,21,-,A2,A3,-
435,esocc,european conference on service-oriented and cloud computing,1,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ByVfWwCdxQMJ.2019,nulo,16,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,16,-,-,A4,-
436,esop,european symposium on programming,1,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=UtpXAOWmk9EJ.2019,nulo,26,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,-,-,-,-,-
437,esorics,european symposium on research in computer security,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=x1AY1yaO1mQJ.2018,Top20,28,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,28,-,A2,A2,-
438,esscirc,european solid state circuits conference,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=rIvU5DZe6gMJ.2018,Top20,18,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,18,-,-,A4,-
439,essderc,european solid state device research conference,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=u1sD_y1HdVYJ.2018,Relevante,14,B1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,14,-,-,B1,-
440,eswc,extended semantic web conference,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=mf0MeYwvqwoJ.2018,Relevante,30,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,30,-,-,A2,-
441,esws,european semantic web conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=mf0MeYwvqwoJ.2018,Relevante,30,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,30,-,A1,A2,-
442,etelemed-iaria,"iaria international conference on ehealth, telemedicine, and social medicine",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IARIA+International+Conference+on+eHealth%2C+Telemedicine%2C+and+Social+Medicine&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,3,1,B5,B4,-
443,etfa,ieee international conference on emerging technologies and factory automation,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=oGDa9y0RKw8J.2018,Relevante,21,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,21,-,B2,A3,-
444,etra,biennial acm symposium on eye tracking research & applications,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=5bu3T7k1ZWMJ.2018,nulo,18,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,18,-,A2,A4,-
445,ets,ieee european test symposium,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=iEwefJwK_poJ.2018,Relevante,13,B1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,13,-,B1,B1,-
446,euc,ieee/ifip international conferences on embedded and ubiquitous computing,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:16:45,categorias 3 e 4 não são atualizadas,-,-,B2,-,-
447,eucnc,european conference on networks and communications,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=NcKP0_ggixQJ.2018,Relevante,19,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,19,-,-,A4,-
448,eumas,european conference on multi-agent systems,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Conference+on+Multi-Agent+Systems&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,6,B3,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,6,1,B2,B3,-
449,euro,european conference on operational research,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Conference+on+Operational+Research&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,5,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,5,1,B4,B4,-
450,eurocg,european workshop on computational geometry,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Workshop+on+Computational+Geometry&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,5,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,5,1,B5,B4,-
451,eurocomb,"european conference on combinatorics, graph theory and applications",2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=wn0aYglh-KMJ.2018,Top10,12,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,12,-,B5,B1,-
452,eurocrypt,international conference on theory and applications of cryptographic techniques,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=fsZsNTm7Eh8J.2018,Top10,53,A1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,53,-,-,A1,-
453,eurogp,european conference on genetic programming,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=eyGlWKyVvUoJ.2018,nulo,15,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,15,-,B1,A4,-
454,eurographics,european association for computer graphics,2,https://scholar.google.com/citations?hl=en&vq=eng_computergraphics&view_op=list_hcore&venue=z2VSKEVsQl0J.2018,Top10,46,A1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,46,-,-,A1,-
455,eurohaptics,eurohaptics,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=3p_aXKSTgkEJ.2018,Relevante,23,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,23,-,B3,A3,-
456,euroitv,european conference on interactive tv and video,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Conference+on+Interactive+TV+and+Video&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,9,B2,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,9,1,B1,B2,-
457,euromicro,euromicro conference on software engineering and advanced applications,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=q4lhGCNkc40J.2018,Relevante,16,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,16,-,B1,A4,-
458,eurompi,european mpi users group meeting,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=eVYF6giBmnoJ.2018,Relevante,12,B1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,12,-,-,B1,-
459,europar,european conference on parallel computing,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=tOMY2Y_aVTMJ.2018,Top20,22,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,22,-,A1,A3,-
460,europarw,parallel processing workshops,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=tMQYYNqBrz0J.2018,nulo,10,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,10,-,B4,B2,-
461,europki,european public key infrastructure workshop,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Public+Key+Infrastructure+Workshop&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,4,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,4,1,B4,B4,-
462,europlop,european conference on pattern languages of programs,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=G6KgE6kxOP8J.2018,Relevante,10,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,10,-,B3,B2,-
463,eurosim,congress on modelling and simulation,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Congress+on+Modelling+and+Simulation&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,7,B3,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,7,1,B5,B3,-
464,eurospi,european conference on software process improvement,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=NIvUXCf10OgJ.2018,nulo,11,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,11,-,B1,B2,-
465,eurosys,european conference on computer systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=8LhhnAnPYO8J.2018,Top10,41,A1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,41,-,A1,A1,-
466,eurovis,eg/vgtc conference on visualization,2,https://scholar.google.com/citations?hl=en&vq=eng_computergraphics&view_op=list_hcore&venue=z2VSKEVsQl0J.2018,Top10,46,A1,14/05/2020,15/08/2021 03:16:45,link é o mesmo utilizado para outro evento: http-collector-https://scholar.google.com/citations?hl=en&vq=eng_computergraphics&view_op=list_hcore&venue=z2VSKEVsQl0J.2018 is already defined as a collector,46,-,-,A1,-
467,eurovisw,eurovis workshop on visual analytics (eurova),1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=EuroVis+Workshop+on+Visual+Analytics&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,4,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,4,1,B5,B4,-
468,eusflat,conference of the european society for fuzzy logic and technology,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=SjT5UkFufUcJ.2018,nulo,11,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,11,-,B1,B2,-
469,eusipco,european signal processing conference,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=oJ-ZYoNCyCQJ.2018,Top20,23,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,23,-,A2,A3,-
470,euvip,european workshop on visual information processing,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=4EzSaJsJYPMJ.2018,nulo,9,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,9,-,B2,B2,-
471,eva,electronic visualisation and the arts,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=OGlp2aoWWaIJ.2018,nulo,6,B3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,6,-,B3,B3,-
472,evoapplications,european conference on the applications of evolutionary computation,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Iy13hXha_VYJ.2018,nulo,17,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,17,-,B1,A4,-
473,evocop,european conference on evolutionary computation in combinatorial optimization,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Conference+on+Evolutionary+Computation+in+Combinatorial+Optimization&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,13,B1,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,13,1,B1,B1,-
474,ewc,embedded world conference,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=EMBEDDED+WORLD+CONFERENCE&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,nulo,7,B3,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,7,1,-,B3,-
