,Unnamed: 0,evento,ano,qualis,categoria,match_sigla,evento_match_ratio,evento_match_partial,evento_match_sort,evento_match_set,fuzz_ratio,fuzz_partial_ratio,fuzz_sort_ratio,fuzz_set_ratio,qualis_ratio,qualis_partial,qualis_sort,qualis_set,algoritmo_match_final,nome_evento_final,qualis_final
1074,1074,II Workshop on Autonomic Distributed Systems ? WoSiDA'12,20120.0,-,conferencia,wosida,workshop on autonomic distributed systems,workshop on autonomic distributed systems,workshop on autonomic distributed systems,workshop on autonomic distributed systems,85.0,100.0,86.0,100.0,B4,B4,B4,B4,all,workshop on autonomic distributed systems,B4
1075,1075,2013 IEEE 6th International Conference on Cloud Computing (CLOUD),,-,conferencia,-,ieee international conference on cloud computing,ieee international conference on cloud computing,ieee international conference on cloud computing,ieee international conference on cloud computing,85.0,92.0,86.0,100.0,A2,A2,A2,A2,all,ieee international conference on cloud computing,A2
1076,1076,2013 International Conference on Connected Vehicles and Expo (ICCVE),,-,conferencia,iccve,international conference on connected vehicles & exp,international conference on connected vehicles & exp,international conference on connected vehicles & exp,international conference on connected vehicles & exp,85.0,94.0,86.0,96.0,A4,A4,A4,A4,all,international conference on connected vehicles & exp,A4
1077,1077,2014 Brazilian Conference on Intelligent Systems (BRACIS),,-,conferencia,bracis,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,sai intelligent systems conference,85.0,100.0,87.0,94.0,A4,A4,A4,B1,ratio partial sort,brazilian conference on intelligent system,A4
1078,1078,2015 12th Annual IEEE Consumer Communications and Networking Conference (CCNC),,-,conferencia,networking,annual ieee consumer communications & networking conference,annual ieee consumer communications & networking conference,annual ieee consumer communications & networking conference,annual ieee consumer communications & networking conference,85.0,95.0,86.0,100.0,A3,A3,A3,A3,all,annual ieee consumer communications & networking conference,A3
1079,1079,Workshop sobre Informática na Escola - WIE,20090.0,-,conferencia,wie,workshop de informatica na escola,workshop de informatica na escola,workshop de informatica na escola,workshop de informatica na escola,85.0,88.0,82.0,95.0,A4,A4,A4,A4,all,workshop de informatica na escola,A4
1080,1080,2020 33rd Symposium on Integrated Circuits and Systems Design (SBCCI),20200.0,-,conferencia,sbcci,symposium on integrated circuits and systems design,symposium on integrated circuits and systems design,symposium on integrated circuits and systems design,symposium on integrated circuits and systems design,85.0,100.0,86.0,100.0,A4,A4,A4,A4,all,symposium on integrated circuits and systems design,A4
1081,1081,IX USENIX Security Symposiump 2000,20000.0,-,conferencia,usenix security,usenix security symposium,usenix security symposium,usenix security symposium,usenix security symposium,85.0,100.0,85.0,85.0,A1,A1,A1,A1,all,usenix security symposium,A1
1082,1082,2012 IEEE 21st International Workshop On Enabling Technologies: Infrastructure For Collaborative Enterprises (WETICE),,-,conferencia,wetice,ieee international conference on enabling technologies: infrastructure for collaborative enterprises,international i*workshop,ieee international conference on enabling technologies: infrastructure for collaborative enterprises,international i*workshop,85.0,92.0,83.0,96.0,A4,B4,A4,B4,ratio sort,ieee international conference on enabling technologies: infrastructure for collaborative enterprises,A4
1083,1083,IEEE 12th International Conference on eScience,20160.0,-,conferencia,escience,cience - ieee international conference on e-science,international conference on discovery science,ieee international escience conference,ieee international escience conference,85.0,89.0,90.0,100.0,A3,B2,B1,B1,sort set,ieee international escience conference,B1
1084,1084,13th International Conference on Data Integration in the Life Sciences (DILS 2018),20180.0,-,conferencia,dils,international conference on data integration in life sciences,international conference on data integration in life sciences,international conference on data integration in life sciences,international conference on data integration in life sciences,85.0,93.0,87.0,100.0,B3,B3,B3,B3,all,international conference on data integration in life sciences,B3
1085,1085,17th IFIP TC.13 International Conference on Human-Computer Interaction (INTERACT 2019),20190.0,-,conferencia,interact,ifip tc 13 international conference on human-computer interaction,international conference on human-computer interaction,ifip tc 13 international conference on human-computer interaction,international conference on human-computer interaction,85.0,100.0,87.0,100.0,A3,B1,A3,B1,ratio sort,ifip tc 13 international conference on human-computer interaction,A3
1086,1086,18th Italian Conference on Theoretical Computer Science (ICTCS 2017),20170.0,-,conferencia,ictcs,italian conference on theoretical computer science,italian conference on theoretical computer science,italian conference on theoretical computer science,italian conference on theoretical computer science,85.0,100.0,86.0,100.0,B4,B4,B4,B4,all,italian conference on theoretical computer science,B4
1087,1087,2017 46th International Conference on Parallel Processing (ICPP),20170.0,-,conferencia,icpp,international conference on parallel processing,international conference on parallel processing,international conference on parallel processing,international conference on parallel processing,85.0,100.0,86.0,100.0,A3,A3,A3,A3,all,international conference on parallel processing,A3
1088,1088,20th ACM Conference on Information and Knowledge Management,20110.0,-,conferencia,-,acm international conference on information and knowledge management,acm international conference on information and knowledge management,acm international conference on information and knowledge management,acm international conference on information and knowledge management,85.0,90.0,85.0,96.0,A1,A1,A1,A1,all,acm international conference on information and knowledge management,A1
1089,1089,2013 20th IEEE International Conference on Image Processing (ICIP),,-,conferencia,icip,ieee international conference on image processing,ieee international conference on image processing,ieee international conference on image processing,ieee international conference on image processing,85.0,100.0,87.0,100.0,A1,A1,A1,A1,all,ieee international conference on image processing,A1
1090,1090,International Conference on Digital Libraries,20130.0,-,conferencia,-,international conference on digital health,international conference on digital information management,international conference on digital health,international conference on theory and practice of digital libraries,85.0,89.0,80.0,100.0,B1,B2,B1,B1,nulo,nao_tem,-
1091,1091,2018 25th IEEE International Conference on Image Processing (ICIP),20180.0,-,conferencia,icip,ieee international conference on image processing,ieee international conference on image processing,ieee international conference on image processing,ieee international conference on image processing,85.0,100.0,87.0,100.0,A1,A1,A1,A1,all,ieee international conference on image processing,A1
1092,1092,34th International ECMS Conference on Modelling and Simulation,20200.0,-,conferencia,ecms,international conference on computer modelling and simulation,international test conference,"international conference on modelling, simulation and identification",international cad conference,85.0,93.0,85.0,92.0,B1,A4,B4,B2,ratio sort,international conference on computer modelling and simulation,B1
1093,1093,18th Brazilian Symposium on Programming Languages (SBLP'14),20140.0,-,conferencia,sblp,brazilian symposium on programming languages,brazilian symposium on programming languages,brazilian symposium on programming languages,brazilian symposium on programming languages,85.0,100.0,87.0,100.0,A4,A4,A4,A4,all,brazilian symposium on programming languages,A4
1094,1094,IEEE/ACM International Conference on Cyber-Physical Systems (ICCPS),20110.0,-,conferencia,iccps,international conference on cyber-physical systems,international conference on cyber-physical systems,international conference on cyber-physical systems,international conference on cyber-physical systems,85.0,100.0,87.0,100.0,A2,A2,A2,A2,all,international conference on cyber-physical systems,A2
1095,1095,2017 VII Brazilian Symposium on Computing Systems Engineering (SBESC),20170.0,-,conferencia,sbesc,brazilian symposium on computing system engineering,brazilian symposium on computing system engineering,brazilian symposium on computing system engineering,brazilian symposium on computing system engineering,85.0,98.0,86.0,93.0,B1,B1,B1,B1,all,brazilian symposium on computing system engineering,B1
1096,1096,WEBIST - 7th International Conference on Web Information Systems,20110.0,-,conferencia,webist,international conference on information systems,international conference on information systems,international conference on information systems,international conference on information systems,85.0,91.0,86.0,100.0,A2,A2,A2,A2,all,international conference on information systems,A2
1097,1097,IEEE 13th International Conference on eScience,20170.0,-,conferencia,escience,cience - ieee international conference on e-science,international conference on discovery science,ieee international escience conference,ieee international escience conference,85.0,89.0,90.0,100.0,A3,B2,B1,B1,sort set,ieee international escience conference,B1
1098,1098,Simposio Brasileiro de Bancos de Dados - SBBD 2020,20200.0,-,conferencia,sbbd,simposio brasileiro de banco de dados,simposio brasileiro de banco de dados,simposio brasileiro de banco de dados,simposio brasileiro de banco de dados,85.0,97.0,87.0,90.0,A4,A4,A4,A4,all,simposio brasileiro de banco de dados,A4
1099,1099,17th International Symposium on Experimental Algorithms  (SEA 2018),20180.0,-,conferencia,sea,international symposium on experimental algorithms,international symposium on experimental algorithms,international symposium on experimental algorithms,international symposium on experimental algorithms,85.0,100.0,88.0,100.0,A3,A3,A3,A3,all,international symposium on experimental algorithms,A3
1100,1100,2018 IEEE International Conference on Communications (ICC 2018),20180.0,-,conferencia,icc,ieee international conference on communications,ieee international conference on communications,ieee international conference on communications,ieee international conference on communications,85.0,100.0,87.0,100.0,A1,A1,A1,A1,all,ieee international conference on communications,A1
1101,1101,XII Simpósio Brasileiro de Informática na Educação - SBIE 2001,20010.0,-,conferencia,sbie,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,85.0,100.0,87.0,100.0,A3,A3,A3,A3,all,simposio brasileiro de informatica na educacao,A3
1102,1102,XIV Simpósio Brasileiro de Informática na Educação - SBIE 2003,20030.0,-,conferencia,sbie,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,85.0,100.0,87.0,100.0,A3,A3,A3,A3,all,simposio brasileiro de informatica na educacao,A3
1103,1103,9th IFIP World Conference on Computers in Education (WCCE 2009),20090.0,-,conferencia,wcce,ifip world conference on computers in education,ifip world conference on computers in education,ifip world conference on computers in education,ifip world conference on computers in education,85.0,100.0,87.0,100.0,B4,B4,B4,B4,all,ifip world conference on computers in education,B4
1104,1104,IEEE International Conference on Service Oriented Computing & Applications,20110.0,-,conferencia,-,ieee conference on service-oriented computing and applications,international conference on service oriented computing,ieee conference on service-oriented computing and applications,international conference on service oriented computing,85.0,100.0,87.0,100.0,A4,A3,A4,A3,ratio sort,ieee conference on service-oriented computing and applications,A4
1105,1105,"20th Intl. Conf. in Central Europe on Computer Graphics, Visualization, and Computer Vision",20120.0,-,conferencia,-,international conference in central europe on computer graphics and visualization and computer vision,international conference in central europe on computer graphics and visualization and computer vision,international conference in central europe on computer graphics and visualization and computer vision,international conference in central europe on computer graphics and visualization and computer vision,85.0,88.0,88.0,89.0,B4,B4,B4,B4,all,international conference in central europe on computer graphics and visualization and computer vision,B4
1106,1106,28th Annual ACM Symposium on Applied Computing,20130.0,-,conferencia,-,acm symposium on applied computing,acm symposium on applied computing,acm symposium on applied computing,acm symposium on applied computing,85.0,100.0,85.0,100.0,A2,A2,A2,A2,all,acm symposium on applied computing,A2
1107,1107,29th Annual Symposium on Computational Geometry,20130.0,-,conferencia,-,international symposium on computational geometry,symposium on computational geometry,symposium on computational geometry,symposium on computational geometry,85.0,100.0,85.0,100.0,A3,A3,A3,A3,all,symposium on computational geometry,A3
1108,1108,CNMAC 2018  XXXVIII Congresso Nacional de Matemática Aplicada e Computacional,,-,conferencia,cnmac,congresso nacional de matematica aplicada e computacional,congresso nacional de matematica aplicada e computacional,congresso nacional de matematica aplicada e computacional,congresso nacional de matematica aplicada e computacional,85.0,100.0,86.0,100.0,B3,B3,B3,B3,all,congresso nacional de matematica aplicada e computacional,B3
1109,1109,5th Conference on principles of Knoledge Representation and Reasoning (KR 96),,-,conferencia,kr,international conference on principles of knowledge representation and reasoning,international conference on principles of knowledge representation and reasoning,international conference on principles of knowledge representation and reasoning,international conference on principles of knowledge representation and reasoning,85.0,90.0,84.0,86.0,A3,A3,A3,A3,all,international conference on principles of knowledge representation and reasoning,A3
1110,1110,British Machine Vision Conference - BMVC 2000,20000.0,-,conferencia,bmvc,british machine vision conference,british machine vision conference,british machine vision conference,british machine vision conference,85.0,100.0,87.0,100.0,A1,A1,A1,A1,all,british machine vision conference,A1
1111,1111,XXV Iberian Latin American Congress on Computational Methods (CILAMCE 2004),20040.0,-,conferencia,latin,iberian latin american congress on computational methods,iberian latin american congress on computational methods,iberian latin american congress on computational methods,iberian latin american congress on computational methods,85.0,100.0,87.0,100.0,B4,B4,B4,B4,all,iberian latin american congress on computational methods,B4
1112,1112,International Conference on CAD and Computer Graphics,19880.0,-,conferencia,cad,international conference on computer-aided design and computer graphics,international cad conference,international conference on computer graphics and imaging,international cad conference,85.0,86.0,89.0,100.0,B3,B2,B3,B2,ratio,international conference on computer-aided design and computer graphics,B3
1113,1113,Proc. of the 5th International Symposium on Mathematical Morphology,20000.0,-,conferencia,-,international symposium on mathematical morphology,international symposium on mathematical morphology,international symposium on mathematical morphology,international symposium on mathematical morphology,85.0,100.0,86.0,100.0,A4,A4,A4,A4,all,international symposium on mathematical morphology,A4
1114,1114,"Intl. Conf. on Systems, Signals and Image Processing",20090.0,-,conferencia,-,"international conference on systems, signals and image processing","international conference on systems, signals and image processing","international conference on systems, signals and image processing","international conference on systems, signals and image processing",85.0,88.0,87.0,89.0,B1,B1,B1,B1,all,"international conference on systems, signals and image processing",B1
1115,1115,"Intl. Conf. on Systems, Signals, and Image Processing",20090.0,-,conferencia,-,"international conference on systems, signals and image processing","international conference on systems, signals and image processing","international conference on systems, signals and image processing","international conference on systems, signals and image processing",85.0,89.0,87.0,89.0,B1,B1,B1,B1,all,"international conference on systems, signals and image processing",B1
1116,1116,2011 IEEE International Joint Conference on Biometrics (IJCB),,-,conferencia,ijcb,ieee international joint conference on biometrics,ieee international joint conference on biometrics,ieee international joint conference on biometrics,international conference on biometrics,85.0,88.0,91.0,100.0,A2,A2,A2,A3,ratio partial sort,ieee international joint conference on biometrics,-
1117,1117,"Intl. Conf. in Central Europe on Computer Graphics, Visualization, and Computer Vision (WSCG)",20120.0,-,conferencia,wscg,international conference in central europe on computer graphics and visualization and computer vision,international conference in central europe on computer graphics and visualization and computer vision,international conference in central europe on computer graphics and visualization and computer vision,international conference in central europe on computer graphics and visualization and computer vision,85.0,87.0,87.0,89.0,B4,B4,B4,B4,all,international conference in central europe on computer graphics and visualization and computer vision,B4
1118,1118,2014 22nd International Conference on Pattern Recognition (ICPR),,-,conferencia,icpr,international conference on pattern recognition,international conference on pattern recognition,international conference on pattern recognition,international conference on pattern recognition,85.0,100.0,86.0,100.0,A2,A2,A2,A2,all,international conference on pattern recognition,A2
1119,1119,2019 IEEE 16th International Symposium on Biomedical Imaging (ISBI),20190.0,-,conferencia,isbi,ieee international symposium on biomedical imaging,ieee international symposium on biomedical imaging,ieee international symposium on biomedical imaging,ieee international symposium on biomedical imaging,85.0,92.0,87.0,100.0,A2,A2,A2,A2,all,ieee international symposium on biomedical imaging,A2
1120,1120,2020 IEEE 17th International Symposium on Biomedical Imaging (ISBI),20200.0,-,conferencia,isbi,ieee international symposium on biomedical imaging,ieee international symposium on biomedical imaging,ieee international symposium on biomedical imaging,ieee international symposium on biomedical imaging,85.0,92.0,87.0,100.0,A2,A2,A2,A2,all,ieee international symposium on biomedical imaging,A2
1121,1121,33th Hawaii International Conference on Systems Sciences (HICSS-33),20000.0,-,conferencia,hicss,hawaii international conference on system sciences,hawaii international conference on system sciences,hawaii international conference on system sciences,ieee international systems conference,85.0,98.0,87.0,93.0,A1,A1,A1,A4,ratio partial sort,hawaii international conference on system sciences,A1
1122,1122,ICEIS 2008 - Tenth International Conference  on Enterprise Information Systems,20080.0,-,conferencia,iceis,international conference on enterprise information systems,conference on enterprise information systems,international conference on enterprise information systems,conference on enterprise information systems,85.0,98.0,87.0,100.0,A3,A4,A3,A4,ratio sort,international conference on enterprise information systems,A3
1123,1123,"International Conference on Dependable Systems and Networks, DSN 2011",20110.0,-,conferencia,networks,ieee international conference on dependable systems and networks workshops,annual ieee/ifip international conference on dependable systems and networks,ieee international conference on dependable systems and networks workshops,annual ieee/ifip international conference on dependable systems and networks,85.0,92.0,85.0,93.0,B3,A2,B3,A2,partial set,annual ieee/ifip international conference on dependable systems and networks,A2
1124,1124,2017 47th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshop (DSNW),20170.0,-,conferencia,networks,annual ieee/ifip international conference on dependable systems and networks,annual ieee/ifip international conference on dependable systems and networks,annual ieee/ifip international conference on dependable systems and networks,annual ieee/ifip international conference on dependable systems and networks,85.0,100.0,86.0,100.0,A2,A2,A2,A2,partial set,annual ieee/ifip international conference on dependable systems and networks,A2
1125,1125,2016 46th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshop (DSNW),20160.0,-,conferencia,networks,annual ieee/ifip international conference on dependable systems and networks,annual ieee/ifip international conference on dependable systems and networks,annual ieee/ifip international conference on dependable systems and networks,annual ieee/ifip international conference on dependable systems and networks,85.0,100.0,86.0,100.0,A2,A2,A2,A2,partial set,annual ieee/ifip international conference on dependable systems and networks,A2
1126,1126,2019 9th LatinAmerican Symposium on Dependable Computing (LADC),20190.0,-,conferencia,ladc,latin-american symposium on dependable computing,latin-american symposium on dependable computing,latin-american symposium on dependable computing,acm symposium on cloud computing,85.0,98.0,73.0,81.0,B2,B2,,A1,ratio partial sort,latin-american symposium on dependable computing,B2
1127,1127,XXIII Seminário Integrado de Software e Hardware - SEMISH,19960.0,-,conferencia,semish,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,85.0,100.0,87.0,100.0,B1,B1,B1,B1,all,seminario integrado de software e hardware,B1
1128,1128,2019 22nd Euromicro Conference on Digital System Design (DSD),20190.0,-,conferencia,euromicro,euromicro conference on digital system design,euromicro conference on digital system design,euromicro conference on digital system design,euromicro conference on digital system design,85.0,100.0,87.0,100.0,A3,A3,A3,A3,all,euromicro conference on digital system design,A3
1129,1129,6th IEEE/IFIP International Conference on Network and Service Management (CNSM),20100.0,-,conferencia,cnsm,international conference on network and service management,international conference on network and service management,international conference on network and service management,international conference on network and service management,85.0,100.0,86.0,100.0,A3,A3,A3,A3,all,international conference on network and service management,A3
1130,1130,13th IEEE/IFIP Network Operations and Management Symposium (NOMS 2012).,20120.0,-,conferencia,noms,ieee/ifip network operations and management symposium,ieee/ifip network operations and management symposium,ieee/ifip network operations and management symposium,ieee/ifip network operations and management symposium,85.0,100.0,88.0,100.0,A3,A3,A3,A3,all,ieee/ifip network operations and management symposium,A3
1131,1131,8th IEEE/IFIP International Conference on Network and Service Management (CNSM),20120.0,-,conferencia,cnsm,international conference on network and service management,international conference on network and service management,international conference on network and service management,international conference on network and service management,85.0,100.0,86.0,100.0,A3,A3,A3,A3,all,international conference on network and service management,A3
1132,1132,29th Annual ACM Symposium on Applied Computing,20140.0,-,conferencia,-,acm symposium on applied computing,acm symposium on applied computing,acm symposium on applied computing,acm symposium on applied computing,85.0,100.0,85.0,100.0,A2,A2,A2,A2,all,acm symposium on applied computing,A2
1133,1133,2016 IEEE 9th International Conference on Cloud Computing (CLOUD),,-,conferencia,-,ieee international conference on cloud computing,ieee international conference on cloud computing,ieee international conference on cloud computing,ieee international conference on cloud computing,85.0,92.0,86.0,100.0,A2,A2,A2,A2,all,ieee international conference on cloud computing,A2
1134,1134,14th Brazilian Symposium on Multimedia and the Web (WebMedia),20080.0,-,conferencia,webmedia,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,85.0,100.0,87.0,100.0,A4,A4,A4,A4,all,brazilian symposium on multimedia and the web,A4
1135,1135,XXXVIII SBPO - Simpósio Brasileiro de Pesquisa Operacional,20060.0,-,conferencia,sbpo,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,85.0,100.0,87.0,100.0,B3,B3,B3,B3,all,simposio brasileiro de pesquisa operacional,B3
1136,1136,International Symposium on Mathematical Programming,20060.0,-,conferencia,-,international symposium on mathematical morphology,international symposium on mathematical morphology,international symposium on mathematical morphology,international symposium on mathematical morphology,85.0,86.0,83.0,88.0,A4,A4,A4,A4,nulo,nao_tem,-
1137,1137,4th Symposium on Programming Languages,20000.0,-,conferencia,-,brazilian symposium on programming languages,asian symposium on programming languages and systems,brazilian symposium on programming languages,asian symposium on programming languages and systems,85.0,92.0,85.0,94.0,A4,B1,A4,B1,ratio sort,brazilian symposium on programming languages,A4
1138,1138,2014 43nd International Conference on Parallel Processing (ICPP),,-,conferencia,icpp,international conference on parallel processing,international conference on parallel processing,international conference on parallel processing,international conference on parallel processing,85.0,100.0,86.0,100.0,A3,A3,A3,A3,all,international conference on parallel processing,A3
1139,1139,the International Conference on Security and Cryptography - SECRYPT 2011,20110.0,-,conferencia,secrypt,international conference on security and cryptography,international conference on security and cryptography,international conference on security and cryptography,international conference on security and cryptography,85.0,100.0,86.0,100.0,B1,B1,B1,B1,all,international conference on security and cryptography,B1
1140,1140,XI Congresso Brasileiro de Informática em Saúde (CBIS'2008),20080.0,-,conferencia,cbis,congresso brasileiro de informatica em saude,congresso brasileiro de informatica em saude,congresso brasileiro de informatica em saude,congresso brasileiro de informatica em saude,85.0,100.0,87.0,100.0,B4,B4,B4,B4,all,congresso brasileiro de informatica em saude,B4
1141,1141,Congresso Brasileiro de Engenharia de Fabricação,20090.0,-,conferencia,-,congresso brasileiro de engenharia biomedica,congresso brasileiro de engenharia biomedica,congresso brasileiro de engenharia biomedica,congresso brasileiro de engenharia biomedica,85.0,86.0,74.0,88.0,B4,B4,,B4,nulo,nao_tem,-
1142,1142,"Conference on Graphics, Patterns and Images (XXV SIBGRAPI)",20120.0,-,conferencia,patterns,"conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images",85.0,100.0,87.0,100.0,A3,A3,A3,A3,all,"conference on graphics, patterns and images",A3
1143,1143,"Conference on Graphics, Patterns and Images (XXX SIBGRAPI)",20170.0,-,conferencia,patterns,"conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images",85.0,100.0,87.0,100.0,A3,A3,A3,A3,all,"conference on graphics, patterns and images",A3
1144,1144,2010 IEEE LatinAmerican Conference on Communications (LATINCOM),,-,conferencia,latincom,ieee latin-american conference on communications,ieee latin-american conference on communications,ieee international conference on communications,ieee global communications conference,85.0,98.0,80.0,90.0,B2,B2,A1,A1,ratio partial,ieee latin-american conference on communications,B2
1145,1145,IEEE International Conference on Communications (IEEE ICC 2015),20150.0,-,conferencia,icc,ieee international conference on communications,ieee international conference on communications,ieee international conference on communications,ieee international conference on communications,85.0,100.0,87.0,100.0,A1,A1,A1,A1,all,ieee international conference on communications,A1
1146,1146,IEEE International Conference on Communications (IEEE ICC 2016),20160.0,-,conferencia,icc,ieee international conference on communications,ieee international conference on communications,ieee international conference on communications,ieee international conference on communications,85.0,100.0,87.0,100.0,A1,A1,A1,A1,all,ieee international conference on communications,A1
1147,1147,IEEE Symposium on Visual Analytics Science and Technology,20070.0,-,conferencia,-,ieee conference on visual analytics science and technology,ieee conference on visual analytics science and technology,ieee conference on visual analytics science and technology,ieee conference on visual analytics science and technology,85.0,84.0,82.0,90.0,A3,A3,A3,A3,all,ieee conference on visual analytics science and technology,A3
1148,1148,2019 IEEE LatinAmerican Conference on Communications (LATINCOM),20190.0,-,conferencia,latincom,ieee latin-american conference on communications,ieee latin-american conference on communications,ieee international conference on communications,ieee global communications conference,85.0,98.0,80.0,90.0,B2,B2,A1,A1,ratio partial,ieee latin-american conference on communications,B2
1149,1149,2021 IEEE LatinAmerican Conference on Communications (LATINCOM),20210.0,-,conferencia,latincom,ieee latin-american conference on communications,ieee latin-american conference on communications,ieee international conference on communications,ieee global communications conference,85.0,98.0,80.0,90.0,B2,B2,A1,A1,ratio partial,ieee latin-american conference on communications,B2
1150,1150,"29th Annual Symposium on Computational Geometry,",20130.0,-,conferencia,-,international symposium on computational geometry,symposium on computational geometry,symposium on computational geometry,symposium on computational geometry,85.0,100.0,85.0,100.0,A3,A3,A3,A3,partial sort set,symposium on computational geometry,A3
1151,1151,"X Latin and American Algorithms, Graphs and Optimization Symposium (LAGOS 2019)",20190.0,-,conferencia,latin,"latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium",85.0,93.0,87.0,100.0,B3,B3,B3,B3,all,"latin-american algorithms, graphs and optimization symposium",B3
1152,1152,IEEE/IFIP International Workshop on Rapid System Prototyping,20070.0,-,conferencia,-,ieee international symposium on rapid system prototyping,international i*workshop,ieee international symposium on rapid system prototyping,international i*workshop,84.0,92.0,79.0,96.0,B2,B4,,B4,ratio sort,ieee international symposium on rapid system prototyping,B2
1153,1153,"ESORICS'2005, 10th European Symposium on Research in Computer Security",20050.0,-,conferencia,esorics,european symposium on research in computer security,european symposium on research in computer security,european symposium on research in computer security,european symposium on research in computer security,84.0,100.0,85.0,100.0,A2,A2,A2,A2,all,european symposium on research in computer security,A2
1154,1154,"18th Conference on Graphics, Patterns and Images (SIBGRAPI)",20050.0,-,conferencia,patterns,"conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images",84.0,100.0,86.0,100.0,A3,A3,A3,A3,all,"conference on graphics, patterns and images",A3
1155,1155,"19th Conference on Graphics, Patterns and Images (SIBGRAPI)",20060.0,-,conferencia,patterns,"conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images",84.0,100.0,86.0,100.0,A3,A3,A3,A3,all,"conference on graphics, patterns and images",A3
1156,1156,"21st Conference on Graphics, Patterns and Images (SIBGRAPI)",20080.0,-,conferencia,patterns,"conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images",84.0,100.0,86.0,100.0,A3,A3,A3,A3,all,"conference on graphics, patterns and images",A3
1157,1157,"23rd Conference on Graphics, Patterns and Images (SIBGRAPI)",20100.0,-,conferencia,patterns,"conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images",84.0,100.0,86.0,100.0,A3,A3,A3,A3,all,"conference on graphics, patterns and images",A3
1158,1158,"ICASSP 2020  2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",20200.0,-,conferencia,icassp,"ieee international conference on acoustics, speech and signal processing","ieee international conference on acoustics, speech and signal processing","ieee international conference on acoustics, speech and signal processing","ieee international conference on acoustics, speech and signal processing",84.0,100.0,86.0,100.0,A1,A1,A1,A1,all,"ieee international conference on acoustics, speech and signal processing",A1
1159,1159,WIE/SBC2004  Workshop de Informática na Escola,20040.0,-,conferencia,wie,workshop de informatica na escola,workshop de informatica na escola,workshop de informatica na escola,workshop de informatica na escola,84.0,100.0,85.0,100.0,A4,A4,A4,A4,all,workshop de informatica na escola,A4
1160,1160,IADIS International Conference WWW/INTERNET 2010,20100.0,-,conferencia,www,international conference on www/internet,international conference on www/internet,international conference on www/internet,international conference on www/internet,84.0,92.0,84.0,96.0,B4,B4,B4,B4,all,international conference on www/internet,B4
1161,1161,IADIS International Conference WWW/INTERNET 2011,20110.0,-,conferencia,www,international conference on www/internet,international conference on www/internet,international conference on www/internet,international conference on www/internet,84.0,92.0,84.0,96.0,B4,B4,B4,B4,all,international conference on www/internet,B4
1162,1162,IADIS International Conference WWW/Internet 2012,20120.0,-,conferencia,www,international conference on www/internet,international conference on www/internet,international conference on www/internet,international conference on www/internet,84.0,92.0,84.0,96.0,B4,B4,B4,B4,all,international conference on www/internet,B4
1163,1163,XXVII Simpósio Brasileiro de Informática na Educação (SBIE 2016),20160.0,-,conferencia,sbie,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,84.0,100.0,85.0,100.0,A3,A3,A3,A3,all,simposio brasileiro de informatica na educacao,A3
1164,1164,"13th International Conference on Software Technologies, ICSOFT 2018",20180.0,-,conferencia,icsoft,international conference on software technologies,international conference on software technologies,international conference on software technologies,international conference on software technologies,84.0,100.0,85.0,100.0,B2,B2,B2,B2,all,international conference on software technologies,B2
1165,1165,9th International Conference on Multimedia Retrieval (ICMR'2019),20190.0,-,conferencia,icmr,acm international conference on multimedia retrieval,acm international conference on multimedia retrieval,acm international conference on multimedia retrieval,acm international conference on multimedia retrieval,84.0,94.0,86.0,96.0,A2,A2,A2,A2,all,acm international conference on multimedia retrieval,A2
