,sigla,conferencia,categoria,link,CE_Indicou,h5,Qualis_Final,data-atualizacao,data-tentativa,logs,h5_old,Uso do Scholar,Qualis 2016,Qualis_Sem_Inducao,Ajuste ou evento SBC,LINK INFOGRÁFICO
383,ECCE,European Conference on Cognitive Ergonomics,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=SOBEzF-PLUMJ.2018,nulo,7,B3,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,7.0,,B2,B3,,
384,ECCTD,European Conference on Circuit Theory and Design,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=_5DWMS9fWEIJ.2018,Relevante,9,B2,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,9.0,,B1,B2,,
385,ECCV,European Conference on Computer Vision,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=cwIh2C-xo8kJ.2018,Top10,104,A1,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,104.0,,A1,A1,,
386,ECCWS,European Conference on Cyber Warfare and Security,1,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=nOUtk1NpeJYJ.2019,nulo,7,B3,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,,,,,,
387,ECIR,European Conference on Information Retrieval,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=02SGYBvIz80J.2018,Relevante,26,A2,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,26.0,,A2,A2,,
388,ECIS,European Conference on Information Systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=dF8xpB0_PnwJ.2018,Top10,30,A2,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,30.0,,A2,A2,,
389,ECMDAFA,European Conference on Modelling Foundations and Applications,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Conference+on+Modelling+Foundations+and+Applications&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,14,B1,link sem info h5,15/08/2021 03:16:07,não encontrou a tag span: list index out of range,14.0,1.0,B1,B1,,
390,ECML,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,2,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=B_DfwWWmEnMJ.2018,Top20,30,A2,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,30.0,,A1,A2,,
391,ECMR,European Conference on Mobile Robots,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=E-Dt3HzExLsJ.2019,Top20,15,A3,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,15.0,,,A4,,
392,ECMS,European Conference on Modelling and Simulation,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=wJmQhbxZnfgJ.2018,nulo,12,B1,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,12.0,,B1,B1,,
393,ECOOP,European Conference on Object-Oriented Programming,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=QHz4g2YxOYgJ.2018,Relevante,23,A3,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,23.0,,A2,A3,,
394,ECRTS,Euromicro Conference on Real-Time Systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=tsuNspfpsn4J.2018,Top10,26,A2,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,26.0,,A1,A2,,
395,ECSA,European Conference on Software Architecture,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=hbCKVuECYrEJ.2018,Relevante,17,A4,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,17.0,,B1,A4,,
396,ECSAW,European Conference on Software Architecture Workshops,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Conference+on+Software+Architecture+Workshops&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,11,B2,link sem info h5,15/08/2021 03:16:07,não encontrou a tag span: list index out of range,11.0,1.0,B4,B2,,
397,ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=NPzpQ2AW63QJ.2018,Top20,11,B1,15/08/2021 03:16:07,15/08/2021 03:16:07,atualizado com sucesso,11.0,,B1,B2,,
398,ECTA,International Conference on Evolutionary Computation Theory and Applications,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Evolutionary+Computation+Theory+and+Applications&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:16:07,não encontrou a tag span: list index out of range,2.0,1.0,B5,B4,,
399,ECTEL,European Conference on Technology Enhanced Learning,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Conference+on+Technology+Enhanced+Learning&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,18,A4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,18.0,1.0,B1,A4,,
400,ECWeb,International Conference on Electronic Commerce and Web Technologies,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Electronic+Commerce+and+Web+Technologies&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,10,B2,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,10.0,1.0,B3,B2,,
401,EDBT,International Conference on Extending Database Technology,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=WuE3NzMRZNAJ.2018,Top10,29,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,29.0,,A1,A2,,
402,EDCC,European Dependable Computing Conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=o7m_477rT9kJ.2018,Top20,10,B1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,10.0,,B3,B2,,
403,EDM,International Conference on Educational Data Mining,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=omHmP0TWqbUJ.2018,Top20,26,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,26.0,,A2,A2,,
404,EDOC,IEEE International Enterprise Distributed Object Computing Conference,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=HYNXXKncPYAJ.2018,nulo,20,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,20.0,,A2,A3,,
405,EEEWC,"International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government",2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+e-Learning%2C+e-Business%2C+Enterprise+Information+Systems%2C+and+e-Government&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,Relevante,5,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,5.0,1.0,B5,B4,,
406,EGOV,International Conference on Electronic Government,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=UF-KqO2gwjoJ.2018,Relevante,16,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,16.0,,B1,A4,,
407,EGOV-CEDEM-EPART,International Conference on Electronic Government/International Conference for E-Democracy and Open Government,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=UF-KqO2gwjoJ.2018,Relevante,16,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,16.0,,,A4,,
408,EGOVIS,International Conference on Electronic Government and the Information Systems Perspective,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Electronic+Government+and+the+Information+Systems+Perspective&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,Relevante,13,B1,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,13.0,1.0,B2,B1,,
409,EICS,ACM SIGCHI Symposium on Engineering Interactive Computing Systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=8ZzKUGSn8EwJ.2018,Top20,17,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,17.0,,A2,A4,,
410,EIDWT,International Conference on Emerging Intelligent Data and Web Technologies,1,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=27eO0KviuRoJ.2018,nulo,9,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,,,,,,
411,EIS,SPIE Human Vision and Electronic Imaging,1,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=x5DYQpZM6p4J.2018,nulo,14,B1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,14.0,,B5,B1,,
412,eKNOW,"IARIA International Conference on Information, Process, and Knowledge Management",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IARIA+International+Conference+on+Information%2C+Process%2C+and+Knowledge+Management&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,2.0,1.0,B5,B4,,
413,ELECAI,"Electronics, Computers and Artificial Intelligence",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Electronics%2C+Computers+and+Artificial+Intelligence&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,nulo,10,B2,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,10.0,1.0,,B2,,
414,EM-GIS,International Workshop on the Use of GIS in Emergency Management,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+the+Use+of+GIS+in+Emergency+Management&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Relevante,4,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,4.0,1.0,,B4,,
415,EMAS,International Workshop on Engineering Multiagent Systems,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Engineering+Multiagent+Systems&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,1,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,1.0,1.0,B4,B4,,
416,EMBC,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=bZm_HiepFhUJ.2018,Top10,31,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,31.0,,B1,A2,,
417,EMBS,IEEE-EMBS International Conference on Biomedical and Health Informatics,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=BgO65-j_oeEJ.2019,Top10,13,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,13.0,,,B1,,
418,EMNLP,Conference on Empirical Methods in Natural Language Processing,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=LqrQjvOguiMJ.2018,Top10,76,A1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,76.0,,A1,A1,,
419,EMO,International Conference on Evolutionary Multi-Criterion Optimization,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=RR-6cJymka4J.2018,nulo,18,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,18.0,,B1,A4,,
420,EMSOFT,ACM International Conference on Embedded Software,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=qtGE7auaGpUJ.2018,Top10,19,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,19.0,,,A4,,
421,ENANPAD,Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Encontro+Nacional+da+Associa%C3%A7%C3%A3o+Nacional+de+P%C3%B3s-Gradua%C3%A7%C3%A3o+e+Pesquisa+em+Administra%C3%A7%C3%A3o%09&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Top20,7,B2,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,7.0,1.0,,B3,,
422,ENASE,International Conference on Evaluation of Novel Approaches to Software Engineering,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Q2z8twK6gqAJ.2018,nulo,10,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,10.0,,B2,B2,,
423,ENERGY-IARIA,"IARIA International Conference on Smart Grids, Green Communications and IT Energy-aware Technologies",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IARIA+International+Conference+on+Smart+Grids%2C+Green+Communications+and+IT+Energy-aware+Technologies&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,2.0,1.0,B5,B4,,
424,ENIAC,Encontro Nacional de Inteligencia Artificial e Computacional,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Encontro+Nacional+de+Inteligencia+Artificial+e+Computacional&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,Relevante,2,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,2.0,1.0,B4,B4,,
425,ENIC,European Network Intelligence Conference,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Network+Intelligence+Conference&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,8,B3,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,8.0,1.0,B2,B3,,
426,EPIA,Portuguese Conference on Artificial Intelligence,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=SDrbTPLn2T0J.2018,nulo,10,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,10.0,,B1,B2,,
427,ER,International Conference on Conceptual Modeling,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=wB6WaEpFlvgJ.2018,Top10,20,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,20.0,,B1,A3,,
428,ERLANG,ACM SIGPLAN Erlang Workshop,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=ACM+SIGPLAN+Erlang+Workshop&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,6,B3,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,6.0,1.0,B4,B3,,
429,ESA,European Symposium on Algorithms,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=sNtxnFuOq5YJ.2018,Top10,23,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,23.0,,A2,A3,,
430,ESANN,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",2,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=G2W6LcMuSNwJ.2018,Relevante,14,B1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,14.0,,B1,B1,,
431,ESCIENCE,cience - IEEE International Conference on e-Science,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=6RxgACAtCdcJ.2018,Top10,13,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,13.0,,B1,B1,,
432,ESEC/FSE,Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=CwfZO4J4a4UJ.2019,Top10,51,A1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,50.0,,A1,A1,,
433,ESELAW,Workshop Latinoamericano de Ingeniería de Software Experimental,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+Latinoamericano+de+Ingenier%C3%ADa+de+Software+Experimental&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,Relevante,1,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,1.0,1.0,B4,B4,,
434,ESEM,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=TWG2GULnchAJ.2018,Top20,21,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,21.0,,A2,A3,,
435,ESOCC,EUROPEAN CONFERENCE ON SERVICE-ORIENTED AND CLOUD COMPUTING,1,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ByVfWwCdxQMJ.2019,nulo,16,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,16.0,,,A4,,
436,ESOP,European Symposium on Programming,1,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=UtpXAOWmk9EJ.2019,nulo,26,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,,,,,,
437,ESORICS,European Symposium on Research in Computer Security,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=x1AY1yaO1mQJ.2018,Top20,28,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,28.0,,A2,A2,,
438,ESSCIRC,European Solid State Circuits Conference,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=rIvU5DZe6gMJ.2018,Top20,18,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,18.0,,,A4,,
439,ESSDERC,European Solid State Device Research Conference,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=u1sD_y1HdVYJ.2018,Relevante,14,B1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,14.0,,,B1,,
440,ESWC,Extended Semantic Web Conference,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=mf0MeYwvqwoJ.2018,Relevante,30,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,30.0,,,A2,,
441,ESWS,European Semantic Web Conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=mf0MeYwvqwoJ.2018,Relevante,30,A2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,30.0,,A1,A2,,
442,ETELEMED-IARIA,"IARIA International Conference on eHealth, Telemedicine, and Social Medicine",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IARIA+International+Conference+on+eHealth%2C+Telemedicine%2C+and+Social+Medicine&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,3.0,1.0,B5,B4,,
443,ETFA,IEEE International Conference on Emerging Technologies and Factory Automation,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=oGDa9y0RKw8J.2018,Relevante,21,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,21.0,,B2,A3,,
444,ETRA,Biennial ACM Symposium on Eye Tracking Research & Applications,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=5bu3T7k1ZWMJ.2018,nulo,18,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,18.0,,A2,A4,,
445,ETS,IEEE European Test Symposium,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=iEwefJwK_poJ.2018,Relevante,13,B1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,13.0,,B1,B1,,
446,EUC,IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:16:45,categorias 3 e 4 não são atualizadas,,,B2,,,
447,EuCNC,European Conference on Networks and Communications,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=NcKP0_ggixQJ.2018,Relevante,19,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,19.0,,,A4,,
448,EUMAS,European Conference on Multi-Agent Systems,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Conference+on+Multi-Agent+Systems&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,6,B3,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,6.0,1.0,B2,B3,,
449,EURO,European Conference on Operational Research,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Conference+on+Operational+Research&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,5,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,5.0,1.0,B4,B4,,
450,EUROCG,European Workshop on Computational Geometry,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Workshop+on+Computational+Geometry&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,5,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,5.0,1.0,B5,B4,,
451,EUROCOMB,"European Conference on Combinatorics, Graph Theory and Applications",2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=wn0aYglh-KMJ.2018,Top10,12,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,12.0,,B5,B1,,
452,EUROCRYPT,International Conference on Theory and Applications of Cryptographic Techniques,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=fsZsNTm7Eh8J.2018,Top10,53,A1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,53.0,,,A1,,
453,EuroGP,European Conference on Genetic Programming,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=eyGlWKyVvUoJ.2018,nulo,15,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,15.0,,B1,A4,,
454,EUROGRAPHICS,European Association for Computer Graphics,2,https://scholar.google.com/citations?hl=en&vq=eng_computergraphics&view_op=list_hcore&venue=z2VSKEVsQl0J.2018,Top10,46,A1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,46.0,,,A1,,
455,EUROHAPTICS,Eurohaptics,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=3p_aXKSTgkEJ.2018,Relevante,23,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,23.0,,B3,A3,,
456,EUROITV,European Conference on Interactive TV and Video,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Conference+on+Interactive+TV+and+Video&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,9,B2,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,9.0,1.0,B1,B2,,
457,EUROMICRO,Euromicro Conference on Software Engineering and Advanced Applications,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=q4lhGCNkc40J.2018,Relevante,16,A4,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,16.0,,B1,A4,,
458,EuroMPI,European MPI Users Group Meeting,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=eVYF6giBmnoJ.2018,Relevante,12,B1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,12.0,,,B1,,
459,EUROPAR,European Conference on Parallel Computing,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=tOMY2Y_aVTMJ.2018,Top20,22,A3,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,22.0,,A1,A3,,
460,EuroParW,Parallel Processing Workshops,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=tMQYYNqBrz0J.2018,nulo,10,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,10.0,,B4,B2,,
461,EUROPKI,European Public Key Infrastructure Workshop,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=European+Public+Key+Infrastructure+Workshop&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,4,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,4.0,1.0,B4,B4,,
462,EuroPloP,European Conference on Pattern Languages of Programs,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=G6KgE6kxOP8J.2018,Relevante,10,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,10.0,,B3,B2,,
463,EUROSIM,Congress on Modelling and Simulation,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Congress+on+Modelling+and+Simulation&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,7,B3,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,7.0,1.0,B5,B3,,
464,EuroSPI,European Conference on Software Process Improvement,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=NIvUXCf10OgJ.2018,nulo,11,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,11.0,,B1,B2,,
465,EUROSYS,European Conference on Computer Systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=8LhhnAnPYO8J.2018,Top10,41,A1,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,41.0,,A1,A1,,
466,EuroVis,EG/VGTC Conference on Visualization,2,https://scholar.google.com/citations?hl=en&vq=eng_computergraphics&view_op=list_hcore&venue=z2VSKEVsQl0J.2018,Top10,46,A1,14/05/2020,15/08/2021 03:16:45,link é o mesmo utilizado para outro evento: http-collector-https://scholar.google.com/citations?hl=en&vq=eng_computergraphics&view_op=list_hcore&venue=z2VSKEVsQl0J.2018 is already defined as a collector,46.0,,,A1,,
467,EuroVISW,EuroVis Workshop on Visual Analytics (EuroVA),1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=EuroVis+Workshop+on+Visual+Analytics&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,4,B4,link sem info h5,15/08/2021 03:16:45,não encontrou a tag span: list index out of range,4.0,1.0,B5,B4,,
468,EUSFLAT,Conference of the European Society for Fuzzy Logic and Technology,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=SjT5UkFufUcJ.2018,nulo,11,B2,15/08/2021 03:16:45,15/08/2021 03:16:45,atualizado com sucesso,11.0,,B1,B2,,
