,producoes
518,"
Piero Finotti.
							Cluster de Alta Disponibilidade com Asterisk.
							2010.
							Monografia. (Aperfeiçoamento/Especialização em Redes de 
Computadores e Plataformas Distribuídas)  - Universidade Católica Dom 
Bosco. Orientador: Luciano Gonda.
						
"
519,"
Marcio Sadayoshi Naka.
							VoIP - Aspectos Gerais.
							2009.
							Monografia. (Aperfeiçoamento/Especialização em Redes de 
Computadores e Plataformas Distribuídas)  - Universidade Católica Dom 
Bosco. Orientador: Luciano Gonda.
						
"
520,"
Antonio Estevão de Moraes Neto.
							Funcionamento da Arquitetura IP MPLS-VPN na Operadora Brasil 
Telecom/OI.
							2009.
							Monografia. (Aperfeiçoamento/Especialização em Redes de 
Computadores e Plataformas Distribuídas)  - Universidade Católica Dom 
Bosco. Orientador: Luciano Gonda.
						
"
521,"
Júlio César Andrade Melo.
							Virtualização de Servidores x86.
							2009.
							Monografia. (Aperfeiçoamento/Especialização em Redes de 
Computadores e Plataformas Distribuídas)  - Universidade Católica Dom 
Bosco. Orientador: Luciano Gonda.
						
"
522,"
Enio Marcelo Buzaneli.
							Utilização de VLAN com Switches Cisco em Redes de Dados.
							2009.
							Monografia. (Aperfeiçoamento/Especialização em Redes de 
Computadores e Plataformas Distribuídas)  - Universidade Católica Dom 
Bosco. Orientador: Luciano Gonda.
						
"
523,"
Danilo Correa Ribeiro; Fábio Colleone.
							Estudo e Implementação de Telefonia IP baseada na Recomendação 
ITU-T H.323.
							2005.
							Monografia. (Aperfeiçoamento/Especialização em Redes de 
Computadores e Plataformas Distribuídas)  - Universidade Católica Dom 
Bosco. Orientador: Luciano Gonda.
						
"
524,"
Alexander Hildebrand Chendrik; Fernando 
Roger Daga.
							Projeto de Segurança da Informação - Implantação de Ferramentas, 
serviços e Políticas de Segurança de Informação na Empresa Águas 
Guariroba S.A..
							2005.
							Monografia. (Aperfeiçoamento/Especialização em Redes de 
Computadores e Plataformas Distribuídas)  - Universidade Católica Dom 
Bosco. Orientador: Luciano Gonda.
						
"
525,"
Adriano Kurtz Wahl; Thiago Yasutaka 
Ikeda.
							Sistema Móvel de Alerta de Predição de Estro e Parto em Bovinos 
da Raça Nelore.
							2015.
							Trabalho de Conclusão de Curso. (Graduação em Ciência da 
Computação)  - Universidade Federal de Mato Grosso do Sul. Orientador: 
Luciano Gonda.
						
"
526,"
Alex Massayuki Yamakawa e Loester Kiyoshi
 Teruya.
							Calendário Sanitário: Um Aplicativo Móvel para Apoio ao manejo 
Sanitário na Pecuária de Corte Brasileira.
							2014.
							Trabalho de Conclusão de Curso. (Graduação em Ciência da 
Computação)  - Universidade Federal de Mato Grosso do Sul. Orientador: 
Luciano Gonda.
						
"
527,"
Dhiego Cleones Gutterres de Souza.
							Sistema para Manejo de Animais em Propriedades Rurais.
							2013.
							Trabalho de Conclusão de Curso. (Graduação em Bacharelado Em 
Ciência da Computação)  - Universidade Federal de Mato Grosso do Sul. 
Orientador: Luciano Gonda.
						
"
528,"
Luiz Carlos Marchetti Júnior.
							Protótipo de um Sistema de Coleta de Dados Utilizando RFID para 
Plataforma Android.
							2011.
							Trabalho de Conclusão de Curso. (Graduação em Bacharelado em 
Análise de Sistemas)  - Universidade Federal de Mato Grosso do Sul. 
Orientador: Luciano Gonda.
						
"
529,"
Nélio Gomes de Souza; Julio Cesar de 
Rezende.
							Intergração de serviços Utilizando o OpenLDAP.
							2009.
							Trabalho de Conclusão de Curso. (Graduação em Tecnologia Em Redes
 de Computadores)  - Universidade Católica Dom Bosco. Orientador: 
Luciano Gonda.
						
"
530,"
Jair Antônio Ferreira/Leandro Faria 
Gomes.
							Implementação de um Sistema de Controle de Injeção Eletrônica 
Usando Redes CAN.
							2007.
							Trabalho de Conclusão de Curso. (Graduação em Engenharia 
Mecatrônica)  - Universidade Católica Dom Bosco. Orientador: Luciano 
Gonda.
						
"
531,"
Anacleto da Silva Pavão.
							Segurança da Informação em um Ambiente Linux.
							2007.
							Trabalho de Conclusão de Curso. (Graduação em Tecnologia Em Redes
 de Computadores)  - Universidade Católica Dom Bosco. Orientador: 
Luciano Gonda.
						
"
532,"
Karina Alencar Almeida de Andrade;Odenir 
Paula da Silva Jr.
							Um Ambiente de Simulação para Redes de Sensores Sem Fio.
							2006. 0 f.
							Trabalho de Conclusão de Curso. (Graduação em Engenharia de 
Computação)  - Universidade Católica Dom Bosco. Orientador: Luciano 
Gonda.
						
"
533,"
Edison Oliveira; João Ricardo Meira 
Lubas.
							Sistema de Controle de Reserva e Compra de Passagem Aérea 
Utilizando a Plataforma .Net.
							2006.
							Trabalho de Conclusão de Curso. (Graduação em Bacharelado Em 
Sistemas de Informação)  - Universidade Católica Dom Bosco. Orientador: 
Luciano Gonda.
						
"
534,"
Carlos Alberto Lubas; Marcus Matos 
Fernandes.
							Uso de Ferramentas de IDS e Políticas de Segurança no Apoio à 
Proteção de Informações.
							2006.
							Trabalho de Conclusão de Curso. (Graduação em Bacharelado Em 
Sistemas de Informação)  - Universidade Católica Dom Bosco. Orientador: 
Luciano Gonda.
						
"
535,"
Luciano Waltrick Trindade.
							Interconexão entre Matriz-Filial Utilizando Tecnologias WAN.
							2006.
							Trabalho de Conclusão de Curso. (Graduação em Tecnologia Em Redes
 de Computadores)  - Universidade Católica Dom Bosco. Orientador: 
Luciano Gonda.
						
"
536,"
Luis Antônio Guedes da Silva Neto.
							Protocolos de Comunicação para Redes de Sensores Sem Fio.
							2005.
							Trabalho de Conclusão de Curso. (Graduação em Bacharelado Em 
Sistemas de Informação)  - Universidade Católica Dom Bosco. Orientador: 
Luciano Gonda.
						
"
537,"
Dantielle de Freitas Queiroz;Jarley 
Ferreira Sena.
							Implementação de Terminais Leves através de Sistemas de Pré-boot.
							2005. 0 f.
							Trabalho de Conclusão de Curso. (Graduação em Tecnologia Em 
Desenvolvimento de Sistemas Web)  - Universidade Católica Dom Bosco. 
Orientador: Luciano Gonda.
						
"
538,"
Lucas Tsutsui da Silva; Cleon Simões Mendonça Lopes.
							Desenvolvimento de Um Sistma de Hardware para RSSF - Nós Sensores de Baixo Custo.
							2014.
							Iniciação Científica. (Graduando em Engenharia de Computação)  - Universidade Federal de Mato Grosso do Sul,
							Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Luciano Gonda.
						
"
539,"
Lucas Tsutsui da Silva.
							Desenvolvimento de Um Sistema de Hardware para RSSF - Nós Sensores de Baixo Custo.
							2013.
							Iniciação Científica. (Graduando em Engenharia de Computação)  - Universidade Federal de Mato Grosso do Sul,
							Pró-reitoria de Pesquisa e Pós-graduação da UFMS. Orientador: Luciano Gonda.
						
"
540,"
Lucas Tsutsui da Silva.
							Desenvolvimento de um sistema de hardware para RSSF - Nós sensores de baixo custo.
							2012.
							Iniciação Científica. (Graduando em Engenharia de Computação)  - Universidade Federal de Mato Grosso do Sul,
							Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Luciano Gonda.
						
"
541,"
Luiz Gabriel Rodrigues Dopp.
							Elaboração e organização do material de exposição de informática nas escolas.
							2008.
							Iniciação Científica. (Graduando em Engenharia de Computação)  - Universidade Católica Dom Bosco,
							Universidade Católica Dom Bosco. Orientador: Luciano Gonda.
						
"
542,"
RADAEL IVAN DA SILVA INSFRAN.
							Montagem, configuração e caracterização de um cluster para a UCDB.
							2008.
							Iniciação Científica. (Graduando em Engenharia de Computação)  - Universidade Católica Dom Bosco,
							Universidade Católica Dom Bosco. Orientador: Luciano Gonda.
						
"
543,"
Raphael Ceni Gomez.
							Implementação de controlador PID em FPGA.
							2008.
							Iniciação Científica. (Graduando em Engenharia Mecatrônica)  - 
Universidade Católica Dom Bosco. Orientador: Luciano Gonda.
						
"
544,"
Nágela Shayenne Pinheiro.
							Estudo de Técnicas de Programação Voltadas para o Ensino Médio.
							2008.
							Iniciação Científica. (Graduando em Esnsino Médio)  - Escola Estadual José Antônio Pereira,
							Fund. de Apoio ao Des. do Ensino, Ciência e Tecnologia do Estado de MS. Orientador: Luciano Gonda.
						
"
545,"
Roberto Hoshino Morita.
							Codificação de Instruções de Programas: Técnicas e Algoritmos.
							2008.
							Iniciação Científica. (Graduando em Engenharia de Computação)  - Universidade Católica Dom Bosco,
							Universidade Católica Dom Bosco. Orientador: Luciano Gonda.
						
"
546,"
Kariston Ávila.
							Monitoramento de Casas de Vegetação Utilizando Redes de Sensores Sem Fio.
							2007.
							Iniciação Científica. (Graduando em Engenharia de Computação)  - Universidade Católica Dom Bosco,
							Universidade Católica Dom Bosco. Orientador: Luciano Gonda.
						
"
547,"
Jamson Justi.
							Monitoramento de Casas de Vegetação Utilizando Redes de Sensores 
Sem Fio.
							2006.
							Iniciação Científica. (Graduando em Engenharia Mecatrônica)  - 
Universidade Católica Dom Bosco. Orientador: Luciano Gonda.
						
"
548,"
Cleon Simões Mendonça Lopes.
							Desenvolvendo tecnologia com Arduino e Android.
							2013.
							Orientação de outra natureza. (Engenharia de Computação)  - Universidade Federal de Mato Grosso do Sul,
							Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Luciano Gonda.
						
"
549,"
Antonio Carlos Pacheco Rui Dias.
							Programa DESTACOM.
							2012.
							Orientação de outra natureza. (Bacharelado Em Ciência da Computação)  - Universidade Federal de Mato Grosso do Sul,
							Ministério da Educação. Orientador: Luciano Gonda.
						
"
550,"
Cleon Simões Mendonça Lopes.
							Programa DESTACOM-OBI.
							2012.
							Orientação de outra natureza. (Engenharia de Computação)  - Universidade Federal de Mato Grosso do Sul,
							Ministério da Educação. Orientador: Luciano Gonda.
						
"
551,"
Luiz Eduardo Tiosso.
							Programa DESTACOM- Robótica.
							2012.
							Orientação de outra natureza. (Engenharia de Computação)  - Universidade Federal de Mato Grosso do Sul,
							Ministério da Educação. Orientador: Luciano Gonda.
						
"
552,"
Lucas Tsutsui da Silva.
							Projeto ROBINC.
							2012.
							Orientação de outra natureza. (Engenharia de Computação)  - Universidade Federal de Mato Grosso do Sul,
							Pró-reitoria de Extensão, Cultura e Assuntos Estudantis da UFMS. Orientador: Luciano Gonda.
						
"
553,"
Wellington de Oliveira dos Santos.
							Projeto ROBINC.
							2012.
							Orientação de outra natureza. (Engenharia de Computação)  - Universidade Federal de Mato Grosso do Sul,
							Pró-reitoria de Extensão, Cultura e Assuntos Estudantis da UFMS. Orientador: Luciano Gonda.
						
"
554,"
Lucas Rodrigues Pedro.
							Projeto ROBINC.
							2012.
							Orientação de outra natureza. (Engenharia de Computação)  - Universidade Federal de Mato Grosso do Sul,
							Pró-reitoria de Extensão, Cultura e Assuntos Estudantis da UFMS. Orientador: Luciano Gonda.
						
"
555,"
Adolfo Marangoni Hengling.
							Projeto DESTACOM - OBI.
							2012.
							Orientação de outra natureza. (Análise de Sistemas)  - Universidade Federal de Mato Grosso do Sul,
							Pró-reitoria de Extensão, Cultura e Assuntos Estudantis da UFMS. Orientador: Luciano Gonda.
						
"
556,"
Hércules Cardoso da Silva.
							Desenvolvimento de Ferramentas e Material para a OBI.
							2011.
							Orientação de outra natureza. (Bacharelado Em Ciência da Computação)  - Universidade Federal de Mato Grosso do Sul,
							Pró-reitoria de Extensão, Cultura e Assuntos Estudantis da UFMS. Orientador: Luciano Gonda.
						
"
557,"
Diogo Soares da Silva.
							Uso de Técnicas de Programação no Ensino Mério.
							2009.
							Orientação de outra natureza. (Engenharia de Computação)  - Universidade Católica Dom Bosco. Orientador: Luciano Gonda.
						
"
558,"
MONTERA, L. ; GONDA, L. ; ADI, S. 
S. . Lógica. In: Edson Takashi Matsubara; Ricardo Ribeiro dos Santos. 
(Org.). Interciências: Despertando Talentos em COmputação. 1ed.Campo 
Grande - MS: Editora UFMS, 2014, v. 1, p. 15-23. 
"
559,"
GONDA, L.. II Escola Regional de Informática - Centro-Oeste2. 2009. (Congresso). 
"
560,"
MATSUBARA, E. T. ; SILVA, L. S. ; CASTRO JR, A. A. ; SANTOS, R. R. ; GONDA, L. ; MARTINS, P. S. ; ADI, S. S. . ERI - MS. 2010. (Congresso). 
"
561,"
LEITE FILHO, I. ; GONDA, L. ; GUARALDO, E. ; MONGELLI, H. . Semana Nacional de Ciência e Tecnologia do MS. 2010. (Exposição). 
"
562,"
CASTRO JR, A. A. ; GONDA, L. ; SANTOS, R. R.
 ; ADI, S. S. ; MATSUBARA, E. T. ; FERNANDES, P. G. ; MARTINEZ, F. H. V.
 ; PAIVA, D. M. B. . II Escola Regional de Informática de Mato Grosso do
 Sul. 2011. (Congresso). 
"
563,"
LEITE FILHO, I. ; GONDA, L. ; 
FREITAS, A. R. ; BRASIL, A. C. S. ; SILVA, D. B. ; FREITAS, G. P. ; 
PAINI, J. D. S. ; SILVA, K. V. ; PELZL, P. S. ; MONSALVARGA, R. I. ; 
SILVA, T. S. ; COSTA, V. V. F. ; SILVA, W. A. . I Feira de Tecnologias, 
Engenharias e Ciências de Mato Grosso do Sul (FETECMS). 2011. 
(Concurso). 
"
564,"
LEITE FILHO, I. ; GUARALDO, E. ; CHRISTOFOLETTI, G. ; ÍTAVO, C. C. B. F. ; FRANÇA, K. M. ; GONDA, L.
 ; LANGHI, R. ; FIGUEIREDO, J. C. ; SOUZA, A. S. ; MARTINES, M. A. U. ; 
GABAS, S. G. ; PINHO, A. P. ; CAVALCANTE, I. P. ; CORRÊA, H. P. S. ; 
ENNES, J. P. . II UFMS de Portas Abertas. 2011. (Outro). 
"
565,"
GONDA, L.;
 MATSUBARA, E. T. ; CASTRO JR, A. A. ; ARAÚJO, G. S. ; MONTERA, L. ; 
FARIA, G. ; MATSUNO, I. P. ; Carneiro, A. M. . I Encontro de Robótica do
 Mato Grosso do Sul (ROBOMS 2012). 2012. (Congresso). 
"
566,"
GONDA, L.; MATSUBARA, E. T. ; ARAÚJO, G. S. ; PEDROTTI, V. . XIV OLimpíada Brasileira de Informática - Sede FACOM - UFMS. 2012. (Outro). 
"
567,"
MATSUNO, I. P. ; ARAÚJO, G. S. ; GONDA, L. ; MONTERA, L. ; SANTOS, R. R. ; Carneiro, A. M. ; CASTRO JR, A. A. ; SILVA, R. S. . IV Escola Regional de Informática do Mato Grosso do Su. 2013. (Outro). 
"
568,"
GONDA, L.;
 ADI, S. S. ; MATSUBARA, E. T. ; ARAÚJO, G. S. ; FERNANDES, P. G. ; 
IAIONE, F. ; MARTINEZ, F. H. V. ; SILVA, H. C. ; ARAKAKI, R. K. . XIII 
Olimpíada Brasileira de Informática - Sede Faculdade de Computação. 
2011. (Outro). 
"
569,"SANTOS, R.2020SANTOS, R.; ALVES, F. V. ; BRESSAN, P. O. ; AGUIAR, R. E. ; SANTOS, W. O. ; ALVES, R. . A Physiological-Monitoring Electronic Platform for Cattle Grazing Systems. INTERNATIONAL JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL INFORMATION SYSTEMS, v. 11, p. 1-12, 2020. 
"
570,"
SANTOS, R.2020SANTOS, R.; ALVES, F. V. ; BRESSAN, P. O. ; AGUIAR, R. E. ; SANTOS, W. O. ; ALVES, R. . A Physiological-Monitoring Electronic Platform for Cattle Grazing Systems. INTERNATIONAL JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL INFORMATION SYSTEMS, v. 11, p. 1-12, 2020. 
"
571,"
DEFALQUE, G. A.2020DEFALQUE, G. A. ; SANTOS, R. ; YOSHIMURA, V. ; ALVES, F. V. . Ingestive Behaviour Activities Based on Bioacoustic Signals in Grazing Cattle. INTERNATIONAL JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL INFORMATION SYSTEMS, v. 11, p. 69-83, 2020. 
"
572,"
SANTOS, R. M. O.2019SANTOS, R. M. O. ; SARAIVA, E. F. ; ARCE, T. F. ; SANTOS, R. . Predição do Nível de Sombreamento Utilizando um Modelo de Regressão Logístico Multinomial em Sistemas de Criação de Bovinos de Corte. REVISTA BRASILEIRA DE BIOMETRIA, v. 37, p. 378-393, 2019. 
"
573,"
5ARAUJO, F. O.2018ARAUJO, F. O. ; SANTOS, R. . Projeto e Implementação de Decodificadores de Código em Plataformas FPGA. REVISTA ELETRÔNICA DE INICIAÇÃO CIENTÍFICA, v. 16, p. 1-12, 2018. 
"
574,"
SANTOS, R.2018

SANTOS, R.; DUENHA, LIANA ; SILVA, A. C. S. ; BIGNARDI, T. ; SOUSA, M. ; TEDESCO, L. ; MELGAREJO JUNIOR, J. ; AZEVEDO, RODOLFO ; ORDONEZ, E. D. M. . Dark-Silicon Aware Design Space Exploration. JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING, v. 120, p. 295-306, 2018. 
"
575,"
DUENHA, LIANA2017DUENHA, LIANA ; MAGALHAES, F. C. ; SANTOS, M. T. ; SANTOS, RICARDO . Avaliação de preditores de desvios por meio de simuladores como parte do processo de ensino e aprendizagem de Arquitetura de Computadores. INTERNATIONAL JOURNAL OF COMPUTER ARCHITECTURE EDUCATION, v. 6, p. 1-9, 2017. 
"
576,"
1SANTOS, R.2016

SANTOS, R.; MARKS, R. ; SANTOS, R. F. ; ARAUJO, F. O. . Instruction Set Independent Program Encoding. Design Automation for Embedded Systems, v. 20, p. 21-45, 2016. 
"
577,"
2ROMERO, M. E. R.2014

ROMERO, M. E. R. ; Martins, E. M. ; GONZALES, M. E. D. ; SANTOS, R. . Universal Set of CMOS Gates for the Synthesis of Multiple Valued Logic Digital Circuits. IEEE Transactions on Circuits and Systems. I, Regular Papers (Print), v. 61, p. 736-749, 2014. 
"
578,"
6SANTOS, R.2013SANTOS, R.. Utilização de Plataformas de Hardware Aberto no Ensino: Um Estudo de Caso na Disciplina de Introdução à Engenharia de Computação. International Journal of Computer Architecture Education, v. 2, p. 37-40, 2013. 
"
579,"
4SANTOS, R.2009SANTOS, R.; AZEVEDO, R. ; ARAUJO, G. C. S. . Instruction Scheduling Based on Subgraph Isomorphism for a High Performance Computer Processor. JOURNAL OF UNIVERSAL COMPUTER SCIENCE, v. 14, p. 3465-3480, 2009. 
"
580,"
3SANTOS, R.2009

SANTOS, R.; BATISTELLA, R. ; AZEVEDO, R. . A pattern based instruction encoding technique for high performance architectures. International Journal of High Performance Systems Architecture (Print), v. 2, p. 71, 2009. 
"
581,"
ARRUDA, C. C. P. ; SANTOS, R. . Interciências: Produção de Materiais Didáticos Reais e Virtuais para o Ensino de Ciências. 1. ed. Campo Grande: Editora UFMS, 2014. 127p . 
"
582,"
SOUZA, F. P. ; SANTOS, R. . Investindo em Novos Talentos da Rede de Educação Pública para Inclusão Social e Desenvolvimento da Cultura Científica em Três Lagoas-MS. 1. ed. Campo Grande: Editora UFMS, 2014. 84p . 
"
583,"
IAIONE, F. ; SANTOS, R. . Computação Física. In: Edson Takashi Matsubara; Ricardo Ribeiro dos Santos. (Org.). Interciências: Despertando Talentos em Computação. 1ed.Campo Grande: Editora UFMS, 2014, v. , p. 43-58. 
"
584,"
SANTOS, R. R.; CASTRO JUNIOR, A. A. ; ROMERO, M. E. R. ; RUCHSKYS, D. P. . A Computação Paralela e o Cenário Regional. Informativo Mensal da UCDB, Campo Grande, 03 mar.  2003. 
"
585,"
CATELAN, D. ; SANTOS, R. ; DUENHA, L. D. . Accuracy and Physical Characterization of ApproximateArithmetic Circuits. In: Simpósio em Sistemas Computacionais de Alto Desempenho, 2020. Anais do XXI Simpósio em Sistemas Computacionais de Alto Desempenho - WSCAD, 2020. p. 143-154. 
"
586,"
DUENHA, L. D. ; SONOHATA, R. ; ARIGONI, D. C. A. ; SANTOS, R. . Preditor de Desempenho de GPUs aplicado à Exploração do Espaço de Projetos ciente de Dark-Silicon. In: Simpósio em Sistemas Computacionais de Alto Desempenho, 2020. Anais do XXI Simpósio em Sistemas Computacionais de Alto Desempenho - WSCAD, 2020. p. 299-310. 
"
587,"
SANTOS, MATEUS T. DOS ; SONOHATA, RHAYSSA ; KREBS, CASIO ; SEGOVIA, DIEGO ; SANTOS, RICARDO ; DUENHA, LIANA . Performance Models for Heterogeneous Systems Applied to the Dark Silicon-Aware Design Space Exploration. In: 2019 31st International Symposium on Computer Architecture and High Performance Computing (SBACPAD), 2019, Campo Grande. 2019 31st International Symposium on Computer Architecture and High Performance Computing (SBAC-PAD), 2019. p. 9-16. 
"
588,"
SONOHATA, R. ; KREBS, C. ; CATELAN, D. ; DUENHA, L. D. ; SEGOVIA, D. ; SANTOS, M. T. ; SANTOS, R. . Exploração do Projeto de Sistemas Baseados em GPU ciente de Dark Silicon. In: Simpósio em Sistemas Computacionais de Alto Desempenho, 2019, Campo Grande. 2019: Anais do XX Simpósio em Sistemas Computacionais de Alto Desempenho, 2019. p. 358-369. 
"
589,"
SANTOS, M. T. ; OLIVEIRA, T. R. ; SONOHATA, R. ; KREBS, C. ; DUENHA, L. D. ; SANTOS, R. . Modelo de Predição de Desempenho Integrado à Exploração do Espaço de Projetos. In: Workshop de Computação Heterogênea, 2018, São Paulo. II Workshop de Computação Heterogênea, 2018. p. 630-641. 
"
590,"
SANTOS, R.; BIGNARDI, T. ; SILVA, A. C. S. ; DUENHA, L. D. ; AZEVEDO, R. ; ORDONEZ, E. D. M. . On the Dark Silicon Automatic Evaluation on Multicore Processors. In: 28th International Symposium on Computer Architecture and High Performance Computing, 2016, Los Angeles. 2016 IEEE 28th International Symposium on Computer Architecture and High Performance Computing, 2016. p. 166-173. 
"
591,"
SANTOS, R.; AGUIAR, R. E. ; SOKEN, P. H. ; DUENHA, LIANA ; FERRAZ, S. B. . Thread Footprint Analysis for the Design of Multithreaded Applications and Multicore Systems. In: 7th Workshop on Applications for Multi-Core Architectures, 2016, Los Angeles. 2016 International Symposium on Computer Architecture and High Performance Computing Workshops, 2016. p. 55-60. 
"
592,"
SANTOS, RICARDO; MARKS, RENAN ; ALVES, RAFAEL ; ARAUJO, FELIPE ; SANTOS, RENATO . Instruction decoders based on pattern factorization. In: 2015 28th IEEE International SystemonChip Conference (SOCC), 2015, Beijing. 2015 28th IEEE International System-on-Chip Conference (SOCC). p. 180-185. 
"
593,"
SILVA, A. C. S. ; BIGNARDI, T. ; PALMA, E. ; ALVES, R. ; HAYASHI, C. ; SANTOS, R. . Identificação Automática de Dark Silicon em Processadores Multicore. In: Simpósio em Sistemas Computacionais de Alto Desempenho (WSCAD), 2015, Florianópolis. XVI Simpósio em Sistemas Computacionais de Alto Desempenho, 2015. 
"
594,"


DEVIGO, RODRIGO ; DUENHA, LIANA ; AZEVEDO, RODOLFO ; SANTOS, RICARDO . MultiExplorer: A tool set for multicore system-on-chip design exploration. In: 2015 IEEE 26th International Conference on Applicationspecific Systems, Architectures and Processors (ASAP), 2015, Toronto. 2015 IEEE 26th International Conference on Application-specific Systems, Architectures and Processors (ASAP). p. 160. 
"
595,"
SANTOS, R.. Open Hardware Platforms in a First Course of the Computer Engineering Undergraduate Program. In: 2014 IEEE Frontiers in Education Conference Proceedings (FIE), 2014, Madrid. 44th Annual Frontiers in Education (FIE) Conference, 2014. p. 2085-2091. 
"
596,"
SANTOS, R.. Environmental Technological Projects in the Computer Engineering Program. In: Frontiers in Education Conference, 2014, Madrid. 2014 IEEE Frontiers in Education Conference Proceedings (FIE), 2014. p. 310-313. 
"
597,"
KOIKE, C. ; MAX, E. ; GHELERI, R. ; SANTOS, R. . Coretool: análise e identificação de threads em sistemas multicore. In: XV Simpósio em Sistemas Computacionais de Alto Desempenho (WSCAD 2014), 2014, São José dos Campos. Anais da 15a edição do Simpósio em Sistemas Computacionais de Alto Desempenho (WSCAD 2014), 2014. p. 192-203. 
"
598,"
SANTOS, R.; BRESSAN, P. O. ; ARAUJO, FELIPE ; ALVES, F. V. . Uso de Sensores na Pecuária. In: SIMPÓSIO BRASILEIRO DE PECUÁRIA DE PRECISÃO APLICADA À BOVINOCUTURA DE CORTE, 2014, Campo Grande. SIMPÓSIO BRASILEIRO DE PECUÁRIA DE PRECISÃO APLICADA À BOVINOCUTURA DE CORTE, 2014. 
"
599,"
ARAUJO, F. O. ; SANTOS, R. . Projeto e Implementação de Decodificadores de Código em Plataformas FPGA. In: XXXIII Congresso da Sociedade Brasileira de Computação - Concurso de Trabalhos de Iniciação Científica, 2013, Maceió. Anais do XXXIII Congresso da Sociedade Brasileira de Computação, 2013. p. 161-170. 
"
600,"
MARKS, RENAN ; SANTOS, RICARDO ; SANTOS, RENATO . A framework for instruction encoding designs on embedded processors. In: 2013 International Symposium on Rapid System Prototyping (RSP), 2013, Montreal. 2013 International Symposium on Rapid System Prototyping (RSP). p. 116-122. 
"
601,"
SANTOS, R. F. ; MARKS, R. ; SANTOS, R. . PBIW-SPARC: Uma Estratégia para Codificação de Instruções em Programas SPARC. In: Workshop de Sistemas Computacionais de Alto Desempenho - Simpósio em Sistemas Computacionais, 2013, Recife. Anais do XIV Simpósio em Sistemas Computacionais (WSCAD-SSC), 2013. p. 60-67. 
"
602,"
MARKS, RENAN ; ARAUJO, FELIPE ; SANTOS, RENATO ; YONEHARA, FELIPE ; SANTOS, RICARDO . Design and Implementation of the PBIW Instruction Decoder in a Softcore Embedded Processor. In: 2012 13th Symposium on Computer Systems XIII Simp sio de Sistemas Computacionais (WSCADSSC), 2012, Petropolis. 2012 13th Symposium on Computer Systems. p. 110. 
"
603,"
BOGUE, E. ; HOSINO, E. A. ; SANTOS, R. M. O. ; ALVES, H. H. ; SANTOS, R. . Strip Packing Heuristics for the DAGs Packing Problem. In: XLIV SBPO/XVI CLAIO, 2012, Rio de Janeiro. Anais do XLIV Simpósio Brasileiro de Pesquisa Operacional/XVI Congresso Latino Americano de Investigacion Operativa, 2012. 
"
604,"
CARNEIRO, A. M. ; PASQUALI, A. ; ROMERO, M. E. R. ; Martins, E. M. ; SANTOS, R. ; SILVA FILHO, J. M. ; MIYAMOTO, E. ; COSTA, L. C. M. . SIDAT - Integrated System for Automatic Diagnostic on Power Transformers. In: 10th IEEE/IAS International Conference on Industry Applications, 2012, Fortaleza. Proceedings of the 10th IEEE/IAS International Conference on Industry Applications, 2012. 
"
605,"
SILVA, L. C. ; SILVA, R. S. ; SANTOS, R. . An Integrated Technique for Instruction Scheduling and Register Allocation Based on Subgraph Isomorphism. In: 16th BRAZILIAN SYMPOSIUM ON PROGRAMMING LANGUAGES, 2012, Natal. Proceedings of the 16th BRAZILIAN SYMPOSIUM ON PROGRAMMING LANGUAGES, 2012. 
"
606,"
ROMERO, MILTON E. R. ; MARTINS, EVANDRO M. ; SANTOS, RICARDO R. ; GONZALEZ, MARIO E. D. . Analog to digital converter for binary and multiple-valued logic. In: 2011 IEEE Second Latin American Symposium on Circuits and Systems (LASCAS), 2011, Bogota. 2011 IEEE Second Latin American Symposium on Circuits and Systems (LASCAS). p. 1. 
"
607,"
ROMERO, M. E. R. ; Martins, E. M. ; SANTOS, R. . Multiple Valued Logic for the Synthesis of Digital Circuits. In: 39th International Symposium on Multiple Valued Logic, 2009, Naha. Proceedings of the 39th IEEE International Symposium on Multiple Valued Logic, 2009. p. 262-267. 
"
608,"
SANTOS, R.; MORETTO, T. . Trimaran: Uma Infraestrutura de Compilação para o Paralelismo em Nível de Instrução. In: XIII Simpósio Brasileiro de Linguagens de Programação, 2009, Gramado. Anais do XIII Simpósio Brasileiro de Linguagens de Programação, 2009. 
"
609,"
SANTOS, R. R.; AZEVEDO, R. ; ARAUJO, G. C. S. . An Instruction Scheduling Algorithm Based on Subgraph Isomorphism. In: Brazilian Symposium on Programming Languages, 2008, Fortaleza. XII Brazilian Symposium on Programming Languages, 2008. 
"
610,"
OLIVEIRA, R. M. ; SANTOS, R. . Problemas de Roteamento com Janela de Tempo: Uma Abordagem via Geração de Colunas. In: Simpósio Brasileiro de Pesquisa Operacional, 2008, João Pessoa. Anais do XL Simpósio Brasileiro de Pesquisa Operacional, 2008. 
"
