,evento,ano,qualis,categoria,match_sigla,evento_match_ratio,evento_match_partial,evento_match_sort,evento_match_set,fuzz_ratio,fuzz_partial_ratio,fuzz_sort_ratio,fuzz_set_ratio,qualis_ratio,qualis_partial,qualis_sort,qualis_set,algoritmo_match_final,nome_evento_final,qualis_final
703,3rd International Conference on Web Information Systems and Technologies - WEBIST´07,20070.0,-,conferencia,webist,international conference on web information systems and technologies,international conference on web information systems and technologies,international conference on web information systems and technologies,international conference on information systems,89,100,91,100,A4,A4,A4,A2,ratio partial sort,international conference on web information systems and technologies,A4
704,9th International Conference on Enterprise Information Systems - ICEIS´07,20070.0,-,conferencia,iceis,international conference on enterprise information systems,conference on enterprise information systems,international conference on enterprise information systems,conference on enterprise information systems,89,100,90,100,A3,A4,A3,A4,ratio sort,international conference on enterprise information systems,A3
705,4th International Conference on Web Information Systems and Technologies - WEBIST´08,20080.0,-,conferencia,webist,international conference on web information systems and technologies,international conference on web information systems and technologies,international conference on web information systems and technologies,international conference on information systems,89,100,91,100,A4,A4,A4,A2,ratio partial sort,international conference on information systems,A2
706,16 Workshop de Gerência e Operação de Redes e Serviços (WGRS'11),20110.0,-,conferencia,wgrs,workshop de gerencia e operacao de redes e servicos,workshop de gerencia e operacao de redes e servicos,workshop de gerencia e operacao de redes e servicos,workshop de gerencia e operacao de redes e servicos,89,100,90,100,B4,B4,B4,B4,all,workshop de gerencia e operacao de redes e servicos,B4
707,2014 IEEE 13th International Symposium on Network Computing and Applications (NCA),,-,conferencia,nca,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,89,94,90,100,B1,B1,B1,B1,all,ieee international symposium on network computing and applications,B1
708,XXXV Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos - SBRC2017,20170.0,-,conferencia,-,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,89,100,91,100,A4,A4,A4,A4,all,simposio brasileiro de redes de computadores e sistemas distribuidos,A4
709,2017 IEEE 16th International Symposium on Network Computing and Applications (NCA),20170.0,-,conferencia,nca,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,89,94,90,100,B1,B1,B1,B1,all,ieee international symposium on network computing and applications,B1
710,2018 IEEE/ACM 11th International Conference on Utility and Cloud Computing (UCC),20180.0,-,conferencia,ucc,ieee/acm international conference on utility and cloud computing,ieee/acm international conference on utility and cloud computing,ieee/acm international conference on utility and cloud computing,ieee international conference on cloud computing,89,92,90,100,A3,A3,A3,A2,ratio partial sort,ieee/acm international conference on utility and cloud computing,A3
711,2019 31st International Symposium on Computer Architecture and High Performance Computing (SBACPAD),20190.0,-,conferencia,-,international symposium on computer architecture and high performance computing,international symposium on computer architecture,international symposium on computer architecture and high performance computing,international symposium on computer architecture,89,100,90,100,A4,A1,A4,A1,ratio sort,international symposium on computer architecture and high performance computing,A4
712,2020 IEEE/ACM 13th International Conference on Utility and Cloud Computing (UCC),20200.0,-,conferencia,ucc,ieee/acm international conference on utility and cloud computing,ieee/acm international conference on utility and cloud computing,ieee/acm international conference on utility and cloud computing,ieee international conference on cloud computing,89,92,90,100,A3,A3,A3,A2,ratio partial sort,ieee/acm international conference on utility and cloud computing,A3
713,2012 24th International Symposium on Computer Architecture and High Performance Computing (SBACPAD),20120.0,-,conferencia,-,international symposium on computer architecture and high performance computing,international symposium on computer architecture,international symposium on computer architecture and high performance computing,international symposium on computer architecture,89,100,90,100,A4,A1,A4,A1,ratio sort,international symposium on computer architecture and high performance computing,A4
714,2014 26th International Symposium on Computer Architecture and High Performance Computing (SBACPAD),20140.0,-,conferencia,-,international symposium on computer architecture and high performance computing,international symposium on computer architecture,international symposium on computer architecture and high performance computing,international symposium on computer architecture,89,100,90,100,A4,A1,A4,A1,ratio sort,international symposium on computer architecture and high performance computing,A4
715,2016 28th International Symposium on Computer Architecture and High Performance Computing (SBACPAD),20160.0,-,conferencia,-,international symposium on computer architecture and high performance computing,international symposium on computer architecture,international symposium on computer architecture and high performance computing,international symposium on computer architecture,89,100,90,100,A4,A1,A4,A1,ratio sort,international symposium on computer architecture and high performance computing,A4
716,2018 30th International Symposium on Computer Architecture and High Performance Computing (SBACPAD),20180.0,-,conferencia,-,international symposium on computer architecture and high performance computing,international symposium on computer architecture,international symposium on computer architecture and high performance computing,international symposium on computer architecture,89,100,90,100,A4,A1,A4,A1,ratio sort,international symposium on computer architecture and high performance computing,A4
717,"7th International Conference, Security, Privacy, and Applied Cryptography Engineering SPACE 2017",20170.0,-,conferencia,space,"international conference on security, privacy, and applied cryptography engineering","international conference on security, privacy, and applied cryptography engineering","international conference on security, privacy, and applied cryptography engineering","international conference on security, privacy, and applied cryptography engineering",89,96,90,98,B1,B1,B1,B1,all,"international conference on security, privacy, and applied cryptography engineering",B1
718,The 22nd Annual International Conference on Information Security and Cryptology,20190.0,-,conferencia,-,international conference on information security and cryptology,international conference on information security and cryptology,international conference on information security and cryptology,international cryptology conference,89,100,89,100,B1,B1,B1,A1,ratio partial sort,international conference on information security and cryptology,B1
719,17th International Conference on Informatics and Semiotics in Organisations (ICISO 2016),20160.0,-,conferencia,iciso,international conference on informatics and semiotics in organisations,international conference on informatics and semiotics in organisations,international conference on informatics and semiotics in organisations,international conference on informatics and semiotics in organisations,89,100,90,100,B3,B3,B3,B3,all,international conference on informatics and semiotics in organisations,B3
720,18th International Conference on Informatics and Semiotics in Organisations (ICISO 2018),20180.0,-,conferencia,iciso,international conference on informatics and semiotics in organisations,international conference on informatics and semiotics in organisations,international conference on informatics and semiotics in organisations,international conference on informatics and semiotics in organisations,89,100,90,100,B3,B3,B3,B3,all,international conference on informatics and semiotics in organisations,B3
721,2018 IEEE 27th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises  (WETICE 2018),20180.0,-,conferencia,wetice,ieee international conference on enabling technologies: infrastructure for collaborative enterprises,ieee international conference on enabling technologies: infrastructure for collaborative enterprises,ieee international conference on enabling technologies: infrastructure for collaborative enterprises,ieee international conference on enabling technologies: infrastructure for collaborative enterprises,89,96,90,100,A4,A4,A4,A4,all,ieee international conference on enabling technologies: infrastructure for collaborative enterprises,A4
722,Joint Conference on Digital Libraries,20090.0,-,conferencia,-,acm/ieee joint conference on digital libraries,acm/ieee joint conference on digital libraries,acm/ieee joint conference on digital libraries,acm/ieee joint conference on digital libraries,89,100,89,100,A3,A3,A3,A3,all,acm/ieee joint conference on digital libraries,A3
723,9th IEEE International Conference on e-Science,20130.0,-,conferencia,-,cience - ieee international conference on e-science,cience - ieee international conference on e-science,cience - ieee international conference on e-science,cience - ieee international conference on e-science,89,93,91,95,A3,A3,A3,A3,all,cience - ieee international conference on e-science,A3
724,2019 IEEE International Conference on Image Processing (ICIP),20190.0,-,conferencia,icip,ieee international conference on image processing,ieee international conference on image processing,ieee international conference on image processing,ieee international conference on image processing,89,100,91,100,A1,A1,A1,A1,all,ieee international conference on image processing,A1
725,2020 IEEE International Conference on Image Processing (ICIP),20200.0,-,conferencia,icip,ieee international conference on image processing,ieee international conference on image processing,ieee international conference on image processing,ieee international conference on image processing,89,100,91,100,A1,A1,A1,A1,all,ieee international conference on image processing,A1
726,IEEE Symposium Series on Computational Intelligence (IEEE SSCI),20200.0,-,conferencia,ssci,ieee symposium series on computational intelligence,ieee symposium series on computational intelligence,ieee symposium series on computational intelligence,ieee symposium series on computational intelligence,89,100,91,100,A4,A4,A4,A4,all,ieee symposium series on computational intelligence,A4
727,23rd International Symposium on Computer Architecture and High Performance Computing (SBAC-PAD'11),20110.0,-,conferencia,sbac-pad,international symposium on computer architecture and high performance computing,international symposium on computer architecture,international symposium on computer architecture and high performance computing,international symposium on computer architecture,89,100,90,100,A4,A1,A4,A1,ratio sort,international symposium on computer architecture and high performance computing,A4
728,4th ACM/SPEC International Conference on Performance Engineering,20130.0,-,conferencia,-,international conference on performance engineering,international conference on performance engineering,international conference on performance engineering,international conference on performance engineering,89,100,89,100,A3,A3,A3,A3,all,international conference on performance engineering,A3
729,42nd Annual International Symposium on Computer Architecture,20150.0,-,conferencia,-,international symposium on computer architecture,international symposium on computer architecture,international symposium on computer architecture,international symposium on computer architecture,89,100,89,100,A1,A1,A1,A1,all,international symposium on computer architecture,A1
730,29th International Symposium on Computer Architecture and  High Performance Computing (SBAC-PAD'17),20170.0,-,conferencia,sbac-pad,international symposium on computer architecture and high performance computing,international symposium on computer architecture,international symposium on computer architecture and high performance computing,international symposium on computer architecture,89,100,90,100,A4,A1,A4,A1,ratio sort,international symposium on computer architecture and high performance computing,A4
731,31st International Symposium on Computer Architecture and High Performance Computing (SBAC-PAD'19),20190.0,-,conferencia,sbac-pad,international symposium on computer architecture and high performance computing,international symposium on computer architecture,international symposium on computer architecture and high performance computing,international symposium on computer architecture,89,100,90,100,A4,A1,A4,A1,ratio sort,international symposium on computer architecture and high performance computing,A4
732,XX Simpósio em Sistemas Computacionais de Alto Desempenho (WSCAD'19),20190.0,-,conferencia,wscad,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,89,100,90,100,B1,B1,B1,B1,all,simposio em sistemas computacionais de alto desempenho,B1
733,2013 International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS),20130.0,-,conferencia,-,international conference on hardware/software codesign and system synthesis,international conference on hardware/software codesign and system synthesis,international conference on hardware/software codesign and system synthesis,international conference on hardware/software codesign and system synthesis,89,100,90,100,A3,A3,A3,A3,all,international conference on hardware/software codesign and system synthesis,A3
734,2015 Euromicro Conference on Digital System Design (DSD),,-,conferencia,euromicro,euromicro conference on digital system design,euromicro conference on digital system design,euromicro conference on digital system design,euromicro conference on digital system design,89,100,91,100,A3,A3,A3,A3,all,euromicro conference on digital system design,A3
735,4th International Conference on Web Information Systems and Technologies (WEBIST2008),20080.0,-,conferencia,-,international conference on web information systems and technologies,international conference on web information systems and technologies,international conference on web information systems and technologies,international conference on information systems,89,100,90,100,A4,A4,A4,A2,ratio partial sort,international conference on web information systems and technologies,A4
736,5th International Conference on Web Information Systems and Technologies (WEBIST2009),20090.0,-,conferencia,-,international conference on web information systems and technologies,international conference on web information systems and technologies,international conference on web information systems and technologies,international conference on information systems,89,100,90,100,A4,A4,A4,A2,ratio partial sort,international conference on web information systems and technologies,A4
737,XVII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuído (SBRC 2009),20090.0,-,conferencia,sbrc,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,89,99,89,90,A4,A4,A4,A4,all,simposio brasileiro de redes de computadores e sistemas distribuidos,A4
738,The 11th International Conference on Computational Science and Its Applications (ICCSA),20110.0,-,conferencia,its,international conference on computational science and its applications,international conference on computational science,international conference on computational science and its applications,international conference on computational science,89,100,90,100,A3,B2,A3,B2,ratio sort,international conference on computational science and its applications,A3
739,22nd International Conference on Pattern Recognition (ICPR),20140.0,-,conferencia,icpr,international conference on pattern recognition,international conference on pattern recognition,international conference on pattern recognition,international conference on pattern recognition,89,100,90,100,A2,A2,A2,A2,all,international conference on pattern recognition,A2
740,Simposio Brasileiro de IA,20100.0,-,conferencia,-,simposio brasileiro de robotica,simposio brasileiro de automacao inteligente,simposio brasileiro de robotica,simposio brasileiro de robotica,89,96,89,94,B1,B4,B1,B1,nulo,nao_tem,-
741,2nd International Conference on Computer Vision Theory and Applications (VISAPP'07),20070.0,-,conferencia,visapp,international conference on computer vision theory and applications,international conference on computer vision theory and applications,international conference on computer vision theory and applications,international conference on computer vision theory and applications,89,100,91,100,A3,A3,A3,A3,all,international conference on computer vision theory and applications,A3
742,4th International Conference on Web Information Systems and Technologies - WEBIST'08,20080.0,-,conferencia,webist,international conference on web information systems and technologies,international conference on web information systems and technologies,international conference on web information systems and technologies,international conference on information systems,89,100,91,100,A4,A4,A4,A2,ratio partial sort,international conference on web information systems and technologies,A4
743,2016 IEEE 15th International Symposium on Network Computing and Applications (NCA),,-,conferencia,nca,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,89,94,90,100,B1,B1,B1,B1,all,ieee international symposium on network computing and applications,B1
744,the IEEE 14th International Conference on Digital Signal Processing (DSP),20020.0,-,conferencia,dsp,ieee international conference on digital signal processing,international conference on digital signal processing,ieee international conference on digital signal processing,international conference on digital signal processing,89,100,90,100,A4,A4,A4,A4,ratio sort,ieee international conference on digital signal processing,A4
745,"SIBGRAPI: Conference on Graphics, Patterns, and Images",20100.0,-,conferencia,sibgrapi,"conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images",89,98,90,100,A3,A3,A3,A3,all,"conference on graphics, patterns and images",A3
746,2011 IEEE International Symposium on Circuits and Systems (ISCAS),,-,conferencia,iscas,ieee international symposium on circuits and systems,ieee international symposium on circuits and systems,ieee international symposium on circuits and systems,ieee international symposium on circuits and systems,89,100,90,100,A2,A2,A2,A2,all,ieee international symposium on circuits and systems,A2
747,"Conference on Graphics, Patterns and Images (SIBGRAPI)",20110.0,-,conferencia,patterns,"conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images",89,100,90,100,A3,A3,A3,A3,all,"conference on graphics, patterns and images",A3
748,8th Conference on Pattern Languages of Programs (PLoP),20010.0,-,conferencia,plop,conference on pattern languages of programs,conference on pattern languages of programs,conference on pattern languages of programs,conference on pattern languages of programs,89,100,91,100,B2,B2,B2,B2,all,conference on pattern languages of programs,B2
749,VII Workshop de Testes e Tolerância a Falhas (WTF),20060.0,-,conferencia,wtf,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,89,100,91,100,B4,B4,B4,B4,all,workshop de testes e tolerancia a falhas,B4
750,"LAGOS'2019 - X Latin-American Algorithms, Graphs and Optimization Symposium",20190.0,-,conferencia,lagos,"latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium",89,100,90,100,B3,B3,B3,B3,all,"latin-american algorithms, graphs and optimization symposium",B3
751,"2014 24th International Workshop on Power and Timing Modeling, Optimization and Simulation (PATMOS)",,-,conferencia,patmos,"international workshop on power and timing modeling, optimization and simulation","international workshop on power and timing modeling, optimization and simulation","international workshop on power and timing modeling, optimization and simulation","international workshop on power and timing modeling, optimization and simulation",89,100,90,100,B2,B2,B2,B2,all,"international workshop on power and timing modeling, optimization and simulation",B2
752,2015 International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS),,-,conferencia,-,international conference on hardware/software codesign and system synthesis,international conference on hardware/software codesign and system synthesis,international conference on hardware/software codesign and system synthesis,international conference on hardware/software codesign and system synthesis,89,100,90,100,A3,A3,A3,A3,all,international conference on hardware/software codesign and system synthesis,A3
753,2016 Euromicro Conference on Digital System Design (DSD),20160.0,-,conferencia,euromicro,euromicro conference on digital system design,euromicro conference on digital system design,euromicro conference on digital system design,euromicro conference on digital system design,89,100,91,100,A3,A3,A3,A3,all,euromicro conference on digital system design,A3
754,"2015 10th International Conference on P2P, Parallel, Grid, Cloud and Internet Computing (3PGCIC)",,-,conferencia,p2p,"international conference on p2p, parallel, grid, cloud and internet computing","international conference on p2p, parallel, grid, cloud and internet computing","international conference on p2p, parallel, grid, cloud and internet computing","international conference on p2p, parallel, grid, cloud and internet computing",89,100,90,100,B1,B1,B1,B1,all,"international conference on p2p, parallel, grid, cloud and internet computing",B1
755,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),20190.0,-,conferencia,cvprw,ieee conference on computer vision and pattern recognition workshops,ieee conference on computer vision and pattern recognition workshops,ieee conference on computer vision and pattern recognition workshops,ieee conference on computer vision and pattern recognition,89,94,90,100,A1,A1,A1,A1,ratio partial sort,ieee conference on computer vision and pattern recognition workshops,A1
756,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),20200.0,-,conferencia,cvprw,ieee conference on computer vision and pattern recognition workshops,ieee conference on computer vision and pattern recognition workshops,ieee conference on computer vision and pattern recognition workshops,ieee conference on computer vision and pattern recognition,89,94,90,100,A1,A1,A1,A1,ratio partial sort,ieee conference on computer vision and pattern recognition workshops,A1
757,XLI Simpósio Brasileiro de Pesquisa Operacional - SBPO,20090.0,-,conferencia,sbpo,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,89,100,91,100,B3,B3,B3,B3,all,simposio brasileiro de pesquisa operacional,B3
758,XXXVIII Conferencia Latinoamericana en Informatica,20130.0,-,conferencia,-,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,89,98,89,96,B2,B2,B2,B2,all,conferencia latinoamericana de informatica,B2
759,IEEE International Conference on Automation Science and Engineering,20160.0,-,conferencia,-,international conference on computational science and engineering,international conference on computational science and engineering,international conference on computational science and engineering,ieee conference on automation science and engineering,89,93,89,100,A4,A4,A4,A3,ratio partial sort,international conference on computational science and engineering,A4
760,11th Symposium on Computer Architecture and High-Performance Computing,19990.0,-,conferencia,-,international symposium on computer architecture and high performance computing,international symposium on computer architecture and high performance computing,international symposium on computer architecture and high performance computing,international symposium on computer architecture and high performance computing,89,93,87,96,A4,A4,A4,A4,all,international symposium on computer architecture and high performance computing,A4
761,15th Symposium on Computer Architecture and High-Performance Computing,20030.0,-,conferencia,-,international symposium on computer architecture and high performance computing,international symposium on computer architecture and high performance computing,international symposium on computer architecture and high performance computing,international symposium on computer architecture and high performance computing,89,93,87,96,A4,A4,A4,A4,all,international symposium on computer architecture and high performance computing,A4
762,International Symposium on System-on-Chip (SoC' 05),20050.0,-,conferencia,soc,international symposium on system-on-chip,international symposium on system-on-chip,international symposium on system-on-chip,international symposium on system-on-chip,89,100,92,100,B2,B2,B2,B2,all,international symposium on system-on-chip,B2
763,The 4th Annual International Symposium on Code Generation and Optimization,20060.0,-,conferencia,-,international symposium on code generation and optimization,international symposium on code generation and optimization,international symposium on code generation and optimization,international symposium on code generation and optimization,89,100,89,100,A2,A2,A2,A2,all,international symposium on code generation and optimization,A2
764,2015 International Conference on High Performance Computing &amp; Simulation (HPCS),20150.0,-,conferencia,hpcs,international conference on high performance computing & simulation,international conference on high performance computing & simulation,international conference on high performance computing & simulation,international conference on high performance computing & simulation,89,94,90,100,A4,A4,A4,A4,all,international conference on high performance computing & simulation,A4
765,2015 27th International Symposium on Computer Architecture and High Performance Computing (SBACPAD),20150.0,-,conferencia,-,international symposium on computer architecture and high performance computing,international symposium on computer architecture,international symposium on computer architecture and high performance computing,international symposium on computer architecture,89,100,90,100,A4,A1,A4,A1,ratio sort,international symposium on computer architecture and high performance computing,A4
766,18th. International Conference of the Chilean Computer Science  Society (SCCC'98,19980.0,-,conferencia,sccc,international conference of the chilean computer science society,international conference of the chilean computer science society,international conference of the chilean computer science society,international conference of the chilean computer science society,89,98,91,100,B3,B3,B3,B3,all,international conference of the chilean computer science society,B3
767,"2015 10th International Conference on Availability, Reliability and Security (ARES)",20150.0,-,conferencia,ares,"international conference on availability, reliability and security","international conference on availability, reliability and security","international conference on availability, reliability and security","international conference on availability, reliability and security",89,100,90,100,A4,A4,A4,A4,all,"international conference on availability, reliability and security",A4
768,20.o Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais (SBSeg 2020),20200.0,-,conferencia,sbseg,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,89,100,90,100,B1,B1,B1,B1,all,simposio brasileiro em seguranca da informacao e de sistemas computacionais,B1
769,Simpósio Brasileiro de Geomática,20020.0,-,conferencia,-,simposio brasileiro de robotica,simposio brasileiro de automacao inteligente,simposio brasileiro de robotica,simposio brasileiro de robotica,89,88,89,89,B1,B4,B1,B1,nulo,nao_tem,-
770,IEEE International Conference on Image Processing (ICIP'2012),20120.0,-,conferencia,icip,ieee international conference on image processing,ieee international conference on image processing,ieee international conference on image processing,ieee international conference on image processing,89,100,91,100,A1,A1,A1,A1,all,ieee international conference on image processing,A1
771,X Workshop de Visão Computacional (WVC),20140.0,-,conferencia,wvc,workshop de visao computacional,workshop de visao computacional,workshop de visao computacional,workshop de visao computacional,89,100,91,100,B4,B4,B4,B4,all,workshop de visao computacional,B4
772,High-Performance Graphics (HPG),20150.0,-,conferencia,hpg,high-performance graphics,high-performance graphics,high-performance graphics,high-performance graphics,89,100,93,100,B1,B1,B1,B1,all,high-performance graphics,B1
773,31st International Conference on Tools with Artificial Intelligence (ICTAI),20190.0,-,conferencia,ictai,ieee international conference on tools with artificial intelligence,ieee international conference on tools with artificial intelligence,ieee international conference on tools with artificial intelligence,conference on artificial intelligence,89,94,91,100,A3,A3,A3,A1,ratio partial sort,ieee international conference on tools with artificial intelligence,A3
774,25th International Conference on Pattern Recognition (ICPR),20210.0,-,conferencia,icpr,international conference on pattern recognition,international conference on pattern recognition,international conference on pattern recognition,international conference on pattern recognition,89,100,90,100,A2,A2,A2,A2,all,international conference on pattern recognition,A2
775,XVII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC 2009),20090.0,-,conferencia,sbrc,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,89,100,90,100,A4,A4,A4,A4,all,simposio brasileiro de redes de computadores e sistemas distribuidos,A4
776,XXXV Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC 2017),20170.0,-,conferencia,sbrc,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,89,100,90,100,A4,A4,A4,A4,all,simposio brasileiro de redes de computadores e sistemas distribuidos,A4
777,2013 IEEE 12th International Symposium on Network Computing and Applications (NCA),20130.0,-,conferencia,nca,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,89,94,90,100,B1,B1,B1,B1,all,ieee international symposium on network computing and applications,B1
778,2006 31st IEEE Conference on Local Computer Networks,20060.0,-,conferencia,networks,ieee conference on local computer networks,ieee conference on local computer networks,ieee conference on local computer networks,ieee conference on local computer networks,89,100,89,100,A4,A4,A4,A4,all,ieee conference on local computer networks,A4
779,2015 IEEE 14th International Symposium on Network Computing and Applications (NCA),,-,conferencia,nca,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,89,94,90,100,B1,B1,B1,B1,all,ieee international symposium on network computing and applications,B1
780,2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC),20160.0,-,conferencia,itsc,ieee international conference on intelligent transportation systems,ieee international conference on intelligent transportation systems,ieee international conference on intelligent transportation systems,ieee international conference on intelligent transportation systems,89,94,90,100,A2,A2,A2,A2,all,ieee international conference on intelligent transportation systems,A2
781,2019 IEEE 18th International Symposium on Network Computing and Applications (NCA),20190.0,-,conferencia,nca,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,ieee international symposium on network computing and applications,89,94,90,100,B1,B1,B1,B1,all,ieee international symposium on network computing and applications,B1
782,"2021 17th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)",20210.0,-,conferencia,networking,"ieee international conference on wireless and mobile computing, networking and communications","ieee international conference on wireless and mobile computing, networking and communications","ieee international conference on wireless and mobile computing, networking and communications","international conference on computing, networking and communications",89,96,89,100,A3,A3,A3,A2,all,"ieee international conference on wireless and mobile computing, networking and communications",A3
783,"LAGOS'11 -- VI Latin-American Algorithms, Graphs and Optimization Symposium",20110.0,-,conferencia,lagos,"latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium",89,100,91,100,B3,B3,B3,B3,all,"latin-american algorithms, graphs and optimization symposium",B3
784,SBAI 2007 - Simpósio Brasileiro de Automação Inteligente,20070.0,-,conferencia,sbai,simposio brasileiro de automacao inteligente,simposio brasileiro de automacao inteligente,simposio brasileiro de automacao inteligente,simposio brasileiro de automacao inteligente,88,100,90,100,B4,B4,B4,B4,all,simposio brasileiro de automacao inteligente,B4
785,14th International Symposium on Parameterized and Exact Computation (IPEC 2019),20190.0,-,conferencia,ipec,international symposium on parameterized and exact computation,international symposium on parameterized and exact computation,international symposium on parameterized and exact computation,international symposium on parameterized and exact computation,88,100,89,100,B1,B1,B1,B1,all,international symposium on parameterized and exact computation,B1
786,14th Brazilian Symposium on Programming Languages (SBLP),20100.0,-,conferencia,sblp,brazilian symposium on programming languages,brazilian symposium on programming languages,brazilian symposium on programming languages,brazilian symposium on programming languages,88,100,90,100,A4,A4,A4,A4,all,brazilian symposium on programming languages,A4
787,2012 IEEE Latin America Conference on Cloud Computing and Communications (LatinCloud),20120.0,-,conferencia,latin,ieee latin america conference on cloud computing and communications,ieee latin america conference on cloud computing and communications,ieee latin america conference on cloud computing and communications,ieee latin america conference on cloud computing and communications,88,100,89,100,B4,B4,B4,B4,all,ieee latin america conference on cloud computing and communications,B4
788,2017 16th IEEE International Conference on Machine Learning and Applications (ICMLA),20170.0,-,conferencia,icmla,ieee international conference on machine learning and applications,international conference on machine learning,ieee international conference on machine learning and applications,international conference on machine learning,88,100,89,100,A3,A1,A3,A1,ratio sort,ieee international conference on machine learning and applications,A3
789,ReCoSoC - Intl Symposium on Reconfigurable Communication-centric Systems-on-Chip,20190.0,-,conferencia,recosoc,international symposium on reconfigurable communication-centric systems-on-chip,international symposium on reconfigurable communication-centric systems-on-chip,international symposium on reconfigurable communication-centric systems-on-chip,international symposium on reconfigurable communication-centric systems-on-chip,88,89,89,91,B2,B2,B2,B2,all,international symposium on reconfigurable communication-centric systems-on-chip,B2
790,SEMINARIO INTEGRADO DE SOFTWARE E HARDWARE - SEMISH97,19970.0,-,conferencia,-,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,88,100,90,100,B1,B1,B1,B1,all,seminario integrado de software e hardware,B1
791,8th International Conference on Ecological Informatics,20120.0,-,conferencia,-,international conference on social informatics,international conference on social informatics,international conference on health informatics,international cad conference,88,87,86,92,A3,A3,A3,B2,nulo,nao_tem,-
792,2014 IEEE 15th International Symposium on HighAssurance Systems Engineering (HASE),,-,conferencia,hase,ieee international symposium on high assurance systems engineering,ieee international symposium on high assurance systems engineering,ieee international symposium on high assurance systems engineering,ieee international symposium on high assurance systems engineering,88,92,78,87,A4,A4,,A4,all,ieee international symposium on high assurance systems engineering,A4
793,ICIES2004 - 6th International Conference on Enterprise Information Systems,20040.0,-,conferencia,-,international conference on enterprise information systems,conference on enterprise information systems,international conference on enterprise information systems,conference on enterprise information systems,88,100,89,100,A3,A4,A3,A4,all,international conference on enterprise information systems,A3
